Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
55,"“La Paren'diX”, la traditionnelle course pédestre parentissoise - Ville de Parentis-en-Born",https://www.parentis.fr/mes-loisirs/sport/la-parendix/,https://ads.adacl40.fr/guichet-unique/Login/AffichageReglementaire?nCommune=40217,Affichage légal des dépôts et des décisions d’urbanisme,9,239,false,false,false,true,false,false,false,false,2024-09-29,2024-10-06,true,false
47,Bienvenue au CAUE | CAUE,http://caue40.com/,http://www.adacl40.fr/,Agence Départementale Aide aux Collectivités Locales,5,86,false,false,false,true,false,false,false,true,2024-04-01,2024-10-03,false,false
46,Accueil - Hinx,https://www.hinx.fr/,https://ads.adacl40.fr/guichet-unique/Login/Particulier,Déposez ici votre demande d'urbanisme,2,125,false,false,false,true,false,false,false,false,2023-05-15,2024-08-18,false,false
36,Commune de Banos | Site officiel,http://banos.fr/,https://www.adacl40.fr/content/demande-dautorisation-durbanisme-en-ligne,Demandes d'autorisation d'urbanisme,19,61,false,false,false,true,false,false,false,true,2024-01-24,2024-10-03,false,false
36,Novenci - Votre partenaire de proximité en équipements et solutions IT,https://www.novenci.fr/,https://www.adacl40.fr/,logo adacl,70,51,true,false,false,false,false,false,true,false,2024-01-24,2024-10-08,false,false
34,Communauté de communes - Communauté de communes Coeur Haute Lande,https://www.coeurhautelande.fr/,https://www.adacl40.fr/content/demande-dautorisation-durbanisme-en-ligne,Demande d'urbanisme en ligne,9,186,false,false,false,true,false,false,false,true,2024-02-08,2024-06-17,false,false
33,Accueil - Duhort-Bachen,https://www.duhort-bachen.fr/,https://www.adacl40.fr/content/demande-dautorisation-durbanisme-en-ligne,Vos démarches d’urbanisme en ligne,9,128,false,false,false,true,false,false,false,false,2022-12-13,2024-07-21,false,false
22,Lacquy - Lacquy,https://www.lacquy.fr/,https://www.adacl40.fr/content/demande-dautorisation-durbanisme-en-ligne,Le guide des droits et démarches professionnelles,22,95,false,false,false,true,false,false,false,true,2022-12-15,2024-08-16,false,false
22,Accueil - Eugénie-les-Bains village thermal,https://www.ville-eugenie-les-bains.fr/elb/,https://www.adacl40.fr/content/demande-dautorisation-durbanisme-en-ligne,Demande d’urbanisme,52,40,false,false,false,true,false,false,false,true,2024-08-01,2024-10-07,false,false
21,Accueil - Pimbo,https://www.pimbo.fr/,https://www.adacl40.fr/content/demande-dautorisation-durbanisme-en-ligne,Demande d'autorisation d'urbanisme,5,144,false,false,false,true,false,false,false,false,2024-01-29,2024-07-14,false,false
21,Saint-Cricq-Villeneuve - Saint-Cricq-Villeneuve,https://www.saintcricqvilleneuve.fr/,https://www.adacl40.fr/content/demande-dautorisation-durbanisme-en-ligne,Demande d'autorisation d'urbanisme,23,102,false,false,false,true,false,false,false,false,2024-01-23,2024-07-22,false,false
19,"« Leur adresse n’existait pas pour les fournisseurs de fibre Internet » : dans les Landes, la géolocalisation pas toujours évidente des logements",https://newho.prod.sudouest.fr/societe/leur-adresse-n-existait-pas-pour-les-fournisseurs-de-fibre-internet-dans-les-landes-la-geolocalisation-pas-toujours-evidente-des-logements-18207534.php,https://www.adacl40.fr/,l’Agence départementale d’aide aux collectivités locales (Adacl 40),10,160,true,false,false,true,false,false,false,false,2024-04-06,2024-09-11,false,false
18,Accueil - Cère,https://www.cere40.fr/,https://www.adacl40.fr/content/demande-dautorisation-durbanisme-en-ligne,Demande d'autorisation d'urbanisme,4,89,false,false,false,true,false,false,false,false,2024-02-20,2024-10-10,false,false
15,Marketing Your Homes Business Online | Development Mi,https://developmentmi.com/marketing-your-homes-business-online/,https://adacl40.fr/,adacl40,2642,23,false,false,false,true,false,false,false,false,2023-10-08,2024-09-15,false,false
