Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
60,Site officiel de la Ville de Biarritz,https://www.biarritz.fr/,https://www.e-permis.fr/,E-PERMIS,22,250,false,false,false,true,false,false,false,false,2023-12-03,2024-09-15,false,false
57,Démarches administratives - Chazelles-sur-Lyon,https://www.chazelles-sur-lyon.fr/demarches-administratives/,https://www.e-permis.fr/,Déposer une demande d’autorisation d’urbanisme,8,127,false,false,false,true,false,false,false,false,2022-03-20,2024-10-01,false,false
46,Mairie de La Sauve - Site officiel de la Mairie de La Sauve Majeure,https://www.mairiedelasauve.fr/,https://www.e-permis.fr/,https://www.e-permis.fr,15,52,false,false,false,true,false,false,false,false,2023-05-24,2024-10-05,false,false
42,Accueil,https://angresse.fr/,https://www.e-permis.fr/,Image,54,76,false,false,false,false,false,false,true,false,2023-07-15,2024-10-07,false,false
33,Règlement encadrant la location des meublés de tourisme au Pays Basque,https://www.communaute-paysbasque.fr/vivre-ici/cadre-de-vie/lhabitat/louer-un-meuble-de-tourisme-au-pays-basque,https://mt.e-permis.fr/,https://mt.e-permis.fr,9,189,false,false,false,true,false,false,false,false,2024-03-12,2024-10-01,false,false
31,Commune de Cescau (64),http://www.cescau.fr/,https://www.e-permis.fr/,Déposer un dossier d'urbanisme,10,28,false,false,false,true,false,false,false,true,2023-05-26,2024-09-29,false,false
25,Responsible hosting in France - Airbnb Help Center,https://www.airbnb.com/help/article/1383,https://mt.e-permis.fr/register.php,Biarritz,265,72,false,false,false,true,false,false,false,false,2023-08-06,2024-09-29,false,false
23,Site Officiel de la Commune de Salles -Argeles (65),https://salles-argeles.wixsite.com/sallesargeles,https://www.e-permis.fr/,https://www.e-permis.fr/,5,9,false,false,false,true,false,false,false,false,2023-07-14,2024-10-01,false,false
22,Hébergement responsable en France - Centre d'aide Airbnb,https://www.airbnb.fr/help/article/1383,https://mt.e-permis.fr/register.php,Biarritz,273,63,false,false,false,true,false,false,false,false,2023-08-15,2024-09-28,false,false
20,Taxe de séjour Ville de Biarritz,https://taxe.3douest.com/biarritz.php,https://mt.e-permis.fr/register.php,SITE CHANGEMENT D'USAGE,5,10,false,false,false,true,false,false,false,false,2023-08-29,2024-09-23,false,false
20,Fontenilles. Changement de centre instructeur des dossiers d’urbanisme - ladepeche.fr,https://www.ladepeche.fr/2023/02/23/changement-de-centre-instructeur-des-dossiers-durbanisme-11017824.php,https://www.e-permis.fr/,www.e-permis.fr/,18,112,true,false,false,true,false,false,false,false,2023-08-21,2024-04-13,false,false
19,Le Continental à Pau : 51 appartements et un commerce dans l’immeuble de l’hôtel ?,https://newho.prod.sudouest.fr/pyrenees-atlantiques/pau/le-continental-a-pau-51-appartements-et-un-commerce-dans-l-immeuble-de-l-hotel-19483979.php,https://affichage.e-permis.fr/depot?id=96,demande de permis de construire a été déposée,9,162,true,false,false,true,false,false,false,false,2024-04-30,2024-08-16,false,false
19,Responsible hosting in France - Airbnb Help Centre,https://www.airbnb.co.uk/help/article/1383,https://mt.e-permis.fr/register.php,Biarritz,275,64,false,false,false,true,false,false,false,false,2023-08-28,2024-09-05,false,false
18,Responsible hosting in France - Airbnb Help Centre,https://www.airbnb.co.in/help/article/1383,https://mt.e-permis.fr/register.php,Biarritz,273,62,false,false,false,true,false,false,false,false,2023-08-18,2024-09-16,false,false
18,Responsible hosting in France - Airbnb Help Centre,https://www.airbnb.com.au/help/article/1383,https://mt.e-permis.fr/register.php,Biarritz,273,63,false,false,false,true,false,false,false,false,2023-08-24,2024-09-16,false,false
