Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
65,Aménagement du territoire-Urbanisme,https://www.fumelvalleedulot.com/fr/page/74/amenagement-du-territoire-1,https://gnau-cdg47.operis.fr/gnau/?ref=Fumel-Vallee-du-Lot#/,https://gnau-cdg47.operis.fr/gnau/?ref=Fumel-Vallee-du-Lot#/,12,60,false,false,false,true,false,false,false,false,2023-12-01,2024-10-03,false,false
51,Accueil - Communauté de communes Coteaux et Landes de Gascogne,https://cc-coteaux-landes-gascogne.fr/,https://gnau-cdg47.operis.fr/gnau/?ref=Coteaux-et-Landes-de-Gascogne#/,Guichet numérique,7,98,false,false,false,true,false,false,false,false,2024-04-02,2024-09-29,false,false
38,Accueil,http://www.saintmartindecurton.fr/,https://gnau-cdg47.operis.fr/gnau/?ref=Coteaux-et-Landes-de-Gascogne#/,URBANISME,13,43,false,false,false,true,false,false,false,true,2024-06-17,2024-10-07,false,false
32,Bienvenue à Granges sur Lot,http://www.mairie-granges-sur-lot.fr/,https://gnau-cdg47.operis.fr/gnau/?ref=Confluent-et-des-Coteaux-de-Prayssas#/,https://gnau-cdg47.operis.fr/gnau/?ref=Confluent-et-des-Coteaux-de-Prayssas#/,9,235,false,false,false,true,false,false,false,false,2024-03-21,2024-09-29,false,false
20,ACCUEIL -,https://monflanquin.fr/,https://gnau-cdg47.operis.fr/gnau/#/,DEMANDE D'URBANISME,5,46,false,false,false,true,false,false,false,true,2024-08-29,2024-09-19,false,false
20,"Lot-et-Garonne : pour la déclaration de revenus, France services vous accompagne - ladepeche.fr",https://www.ladepeche.fr/2022/04/27/declaration-de-revenus-france-services-vous-accompagne-10261536.php,https://gnau-cdg47.operis.fr/gnau/#/,gnau-cdg47.operis.fr/gnau/,24,114,true,false,false,true,false,false,false,false,2024-04-13,2024-04-13,false,false
17,Un village de caractère du Lot et Garonne à la frontière de la Dordogne - www.cuzorn.fr,https://www.cuzorn.fr/,https://gnau-cdg47.operis.fr/gnau/?ref=Fumel-Vallee-du-Lot#/,https://gnau-cdg47.operis.fr/gnau/?ref=Fumel-Vallee-du-Lot#/,6,24,false,false,false,true,false,false,false,false,2023-05-22,2024-05-04,false,true
6,Démarches administratives liste éléctorales déclaration certificat Penne d'Agenais - Lot et Garonne(47) Sud Ouest,https://ville-pennedagenais.fr/demarches_administratives.php,https://gnau-cdg47.operis.fr/gnau/?ref=Fumel-Vallee-du-Lot#/,Guichet Numérique des Autorisations d'Urbanisme,10,63,false,false,false,true,false,false,false,false,2024-04-20,2024-10-06,false,false
6,Urbanisme - Bastides en Haut Agenais Périgord,https://www.ccbastides47.com/urbanisme/,https://gnau-cdg47.operis.fr/gnau/#/,https://gnau-cdg47.operis.fr/gnau/#/,16,43,false,false,false,true,false,false,false,false,2024-04-05,2024-09-09,false,false
6,Urbanisme à Villeréal,https://www.mairie-villereal.fr/travaux.html,https://gnau-cdg47.operis.fr/gnau/#/,guichet numérique,13,36,false,false,false,true,false,false,false,false,2024-05-02,2024-09-07,false,false
