Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
28,Mairie de Souvignargues (Gard) | Mairie de Souvignargues (Gard),https://www.mairie-souvignargues.fr/,https://gnau39.operis.fr/paysdesommieres/gnau/?ref=Souvignargues#/,https://gnau39.operis.fr/paysdesommieres/gnau/?ref=Souvignargues#/,9,54,false,false,false,true,false,false,false,false,2025-01-22,2025-07-28,false,false
21,"le site de notre village, dans la garrigue, au pied des Cévennes",http://moulesetbaucels.online.fr/,https://gnau39.operis.fr/paysdesommieres/gnau/?ref=Moules#/,"- Guichet numérique des autorisations d'Urbanisme (Demandes de Permis de Construire ou Déclarations Préalables, ...)",16,89,false,false,false,true,false,false,false,true,2024-10-02,2025-07-24,false,false
19,Urbanisme - Chauconin Neufmontiers,https://chauconin-neufmontiers.fr/cadre-de-vie/urbanisme/,https://gnau39.operis.fr/chauconninneufmontiers/gnau/#/,> Déposer un dossier,3,120,false,false,false,true,false,false,false,false,2023-09-25,2025-08-07,false,false
14,Aujargues – Aujargues village gardois,https://aujargues.fr/,https://gnau39.operis.fr/paysdesommieres/gnau/?ref=Aujargues#/,sur le lien,20,116,false,false,false,true,false,false,false,false,2025-03-16,2025-04-03,false,true
13,Aujargues – Aujargues village gardois,https://aujargues.fr/,https://gnau39.operis.fr/paysdesommieres/gnau/?ref=Aujargues#/,https://gnau39.operis.fr/paysdesommieres/gnau/?ref=Aujargues#/,16,113,false,false,false,true,false,false,false,false,2024-10-20,2025-08-06,false,false
13,St Bauzille de Putois - Actualités,https://saintbaule.cluster007.ovh.net/actus-caches?start=132,https://gnau39.operis.fr/paysdesommieres/gnau/?ref=Saint-Bauzille#/,https://gnau39.operis.fr/paysdesommieres/gnau/?ref=Saint-Bauzille#/,6,185,false,false,false,true,false,false,false,false,2025-01-20,2025-05-09,false,true
13,Urbanisme | Ville d'Antony,https://www.ville-antony.fr/urbanisme,https://gnau39.operis.fr/antony/nruweb,Notes d'urbanisme,20,586,false,false,false,true,false,false,false,false,2025-01-27,2025-07-25,false,false
13,Urbanisme | Ville d'Antony,https://www.ville-antony.fr/urbanisme,https://gnau39.operis.fr/antony/gnau,Guichet numérique des autorisations d'urbanisme,20,586,false,false,false,true,false,false,false,false,2024-09-13,2025-07-25,false,false
12,Formulaires d'urbanisme,https://origny-sainte-benoite.e-monsite.com/pages/documents-administratifs.html,https://gnau39.operis.fr/valdeloise/gnau/#/,https://gnau39.operis.fr/valdeloise/gnau/#/,9,28,false,false,false,true,false,false,false,false,2025-01-01,2025-07-24,false,false
12,St Bauzille de Putois - Dématérialisation des Demandes d'Autorisation d'Urbanisme,https://saintbaule.cluster007.ovh.net/actus-caches/406-dematerialisation-des-demandes-d-autorisation-d-urbanisme,https://gnau39.operis.fr/paysdesommieres/gnau/?ref=Saint-Bauzille#/,https://gnau39.operis.fr/paysdesommieres/gnau/?ref=Saint-Bauzille#/,2,121,false,false,false,true,false,false,false,false,2025-01-04,2025-07-19,false,false
12,St Bauzille de Putois - Actualités,https://saintbaule.cluster007.ovh.net/actus-caches?start=143,https://gnau39.operis.fr/paysdesommieres/gnau/?ref=Saint-Bauzille#/,https://gnau39.operis.fr/paysdesommieres/gnau/?ref=Saint-Bauzille#/,7,186,false,false,false,true,false,false,false,false,2025-06-06,2025-08-04,false,false
11,Urbanisme | Ville d'Antony,http://www.ville-antony.fr/urbanisme,https://gnau39.operis.fr/antony/nruweb,Notes d'urbanisme,20,626,false,false,false,true,false,false,false,false,2025-01-12,2025-07-26,false,false
11,Urbanisme | Ville d'Antony,http://www.ville-antony.fr/urbanisme,https://gnau39.operis.fr/antony/gnau,Guichet numérique des autorisations d'urbanisme,20,626,false,false,false,true,false,false,false,false,2024-10-07,2025-07-26,false,false
10,Déclarations de travaux - Moulès-et-Baucels,https://www.intramuros.org/moules-et-baucels/page/urbanisme,https://gnau39.operis.fr/paysdesommieres/gnau/?ref=Moules#/,Accès au Guichet Numérique,4,19,false,false,false,true,false,false,false,false,2024-10-05,2025-07-01,false,false
9,Autorisation du Droit du Sol | Le plessis robinson,https://www.plessis-robinson.com/autorisation-du-droit-du-sol,https://gnau39.operis.fr/plessisrobinson/gnau/#/,Je dépose mon dossier en ligne,16,154,false,false,false,true,false,false,false,false,2025-01-11,2025-07-26,false,false
9,Droit de préemption | Le plessis robinson,https://www.plessis-robinson.com/droit-de-preemption,https://gnau39.operis.fr/plessisrobinson/gnau/#/,Je dépose ma déclaration en ligne,7,148,false,false,false,true,false,false,false,false,2025-01-11,2025-07-27,false,false
9,"Je construis, j'achète | Le plessis robinson",https://www.plessis-robinson.com/je-construis-jachete-0,https://gnau39.operis.fr/plessisrobinson/gnau/#/,Je dépose mon dossier,17,149,false,false,false,true,false,false,false,false,2025-01-13,2025-07-29,false,false
8,Urbanisme - Mairie de la Celle Saint Cloud,https://lacellesaintcloud.fr/cadre-de-vie/urbanisme/,https://gnau39.operis.fr/lacellesaintcloud/gnau,guichet numérique des autorisations d’urbanisme,8,101,false,false,false,true,false,false,false,false,2023-10-13,2025-07-27,false,false
8,Urbanisme | Pays de Sommières,https://www.ccpaysdesommieres.fr/amenagement-du-territoire/urbanisme/,https://gnau39.operis.fr/paysdesommieres/gnau/?ref=Asperes#/,Déposez votre dossier ICI,27,113,false,false,false,true,false,false,false,false,2025-01-05,2025-08-03,false,false
8,Urbanisme | Pays de Sommières,https://www.ccpaysdesommieres.fr/amenagement-du-territoire/urbanisme/,https://gnau39.operis.fr/paysdesommieres/gnau/?ref=Fontanes#/,Déposez votre dossier ICI,27,113,false,false,false,true,false,false,false,false,2024-05-17,2025-08-03,false,false
8,Urbanisme | Pays de Sommières,https://www.ccpaysdesommieres.fr/amenagement-du-territoire/urbanisme/,https://gnau39.operis.fr/paysdesommieres/gnau/#/,Déposez votre dossier ICI,27,113,false,false,false,true,false,false,false,false,2025-01-25,2025-08-03,false,false
8,Urbanisme | Pays de Sommières,https://www.ccpaysdesommieres.fr/amenagement-du-territoire/urbanisme/,https://gnau39.operis.fr/paysdesommieres/gnau/?ref=Parignargues#/,Déposez votre dossier ICI,27,113,false,false,false,true,false,false,false,false,2025-01-25,2025-08-03,false,false
8,Urbanisme | Pays de Sommières,https://www.ccpaysdesommieres.fr/amenagement-du-territoire/urbanisme/,https://gnau39.operis.fr/paysdesommieres/gnau/?ref=Souvignargues#/,Déposez votre dossier ICI,27,113,false,false,false,true,false,false,false,false,2025-01-25,2025-08-03,false,false
8,Urbanisme | Pays de Sommières,https://www.ccpaysdesommieres.fr/amenagement-du-territoire/urbanisme/,https://gnau39.operis.fr/paysdesommieres/gnau/?ref=Cannes#/,Déposez votre dossier ICI,27,113,false,false,false,true,false,false,false,false,2025-01-05,2025-08-03,false,false
8,Urbanisme | Pays de Sommières,https://www.ccpaysdesommieres.fr/amenagement-du-territoire/urbanisme/,https://gnau39.operis.fr/paysdesommieres/gnau/?ref=Montpezat#/,Déposez votre dossier ICI,27,113,false,false,false,true,false,false,false,false,2025-01-05,2025-08-03,false,false
8,Urbanisme | Pays de Sommières,https://www.ccpaysdesommieres.fr/amenagement-du-territoire/urbanisme/,https://gnau39.operis.fr/paysdesommieres/gnau/?ref=Villevieille#/,Déposez votre dossier ICI,27,113,false,false,false,true,false,false,false,false,2025-01-05,2025-08-03,false,false
8,Urbanisme | Pays de Sommières,https://www.ccpaysdesommieres.fr/amenagement-du-territoire/urbanisme/,https://gnau39.operis.fr/paysdesommieres/gnau/?ref=Crespian#/,Déposez votre dossier ICI,27,113,false,false,false,true,false,false,false,false,2024-10-23,2025-08-03,false,false
8,Urbanisme | Pays de Sommières,https://www.ccpaysdesommieres.fr/amenagement-du-territoire/urbanisme/,https://gnau39.operis.fr/paysdesommieres/gnau/?ref=Calvisson#/,Déposez votre dossier ICI,27,113,false,false,false,true,false,false,false,false,2024-10-23,2025-08-03,false,false
8,Urbanisme | Pays de Sommières,https://www.ccpaysdesommieres.fr/amenagement-du-territoire/urbanisme/,https://gnau39.operis.fr/paysdesommieres/gnau/?ref=Aujargues#/,Déposez votre dossier ICI,27,113,false,false,false,true,false,false,false,false,2024-10-23,2025-08-03,false,false
8,Urbanisme | Pays de Sommières,https://www.ccpaysdesommieres.fr/amenagement-du-territoire/urbanisme/,https://gnau39.operis.fr/paysdesommieres/gnau/?ref=Salinelles#/,Déposez votre dossier ICI,27,113,false,false,false,true,false,false,false,false,2024-09-26,2025-08-03,false,false
8,Urbanisme | Pays de Sommières,https://www.ccpaysdesommieres.fr/amenagement-du-territoire/urbanisme/,https://gnau39.operis.fr/paysdesommieres/gnau/?ref=Congenies#/,Déposez votre dossier ICI,27,113,false,false,false,true,false,false,false,false,2024-09-26,2025-08-03,false,false
