Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
73,Mairie de Lamentin - Guadeloupe,https://www.ville-lamentin.fr/,https://gnau45.operis.fr/lamentin/gnau,Portail urbanisme,17,160,false,false,false,true,false,false,false,false,2024-10-17,2025-07-25,false,false
25,Accueil,https://www.villededeshaies.fr/,https://gnau45.operis.fr/deshaies/gnau/,Accédez au GNAU,15,115,false,false,false,true,false,false,false,false,2024-10-06,2025-08-02,false,false
25,Accueil,https://www.villededeshaies.fr/,https://gnau45.operis.fr/deshaies/gnau/#/,AUTORISATION DU DROIT DES SOLS,15,115,false,false,false,true,false,false,false,false,2024-08-26,2025-08-02,false,false
18,Villiers-Saint-Frédéric vous souhaite la bienvenue !,https://www.mairie-villiers-saint-frederic.fr/,https://gnau45.operis.fr/villierssaintfrederic/gnau/#/,Portail urbanisme,4,98,false,false,false,true,false,false,false,true,2024-08-22,2025-08-03,false,false
14,Déposer un permis de construire en ligne | DEAL de la Martinique,https://www.martinique.developpement-durable.gouv.fr/deposer-un-permis-de-construire-en-ligne-a2193.html,https://gnau45.operis.fr/saintjoseph/gnau/#/,https://gnau45.operis.fr/saintjoseph/gnau/#/,40,44,true,false,false,true,false,false,false,false,2024-10-20,2025-07-21,false,false
6,Guichet numérique des autorisations d’urbanisme - Sainte-Anne,https://www.ville-sainteanne.fr/vos-demarches/urbanisme/article/guichet-numerique-des-autorisations-d-urbanisme,https://gnau45.operis.fr/sainteanne/gnau/,Accéder au guichet numérique des autorisations d’urbanisme,8,162,false,false,false,true,false,false,false,false,2025-01-27,2025-07-29,false,false
6,Guichet numérique des autorisations d’urbanisme - Sainte-Anne,https://www.ville-sainteanne.fr/vos-demarches/urbanisme/article/guichet-numerique-des-autorisations-d-urbanisme,https://gnau45.operis.fr/sainteanne/gnau/,bit.ly/URBANISME-SAINTEANNE,8,162,false,false,false,true,false,false,false,false,2025-01-27,2025-07-29,false,false
5,Accueil,https://villededeshaies.fr/,https://gnau45.operis.fr/deshaies/gnau/,Accédez au GNAU,15,115,false,false,false,true,false,false,false,false,2024-09-22,2025-07-29,false,false
3,Mairie de Vieux-Habitants,https://villedevieuxhabitants.fr/fr/,https://gnau45.operis.fr/vieuxhabitants/gnau/,URBANISME,4,49,false,false,false,true,false,false,false,true,2024-07-15,2025-07-22,false,false
3,Autorisations d'urbanisme | Pointe-Noire,https://villepointenoire.fr/autorisations-durbanisme,https://gnau45.operis.fr/pointenoire/gnau/#/,Accéder au guichet,6,64,false,false,false,true,false,false,false,false,2025-01-14,2025-08-01,false,false
3,Mairie de Lamentin - Guadeloupe,https://www.ville-lamentin.fr/?lang=LANG,https://gnau45.operis.fr/lamentin/gnau,Portail urbanisme,17,159,false,false,false,true,false,false,false,false,2024-10-26,2025-07-25,false,false
3,Mairie de Lamentin - Guadeloupe,https://www.ville-lamentin.fr/?lang=fr,https://gnau45.operis.fr/lamentin/gnau,Portail urbanisme,17,158,false,false,false,true,false,false,false,false,2024-11-10,2025-07-22,false,false
2,G.N.A.U. de la ville de Bouillante - Site officiel de la Ville de Bouillante,https://www.ville-bouillante.fr/mes-demarches/travaux-et-urbanisme/g-n-a-u/,https://gnau45.operis.fr/bouillante/gnau/,,8,123,false,false,false,false,false,false,true,false,2024-02-10,2025-07-29,false,false
2,G.N.A.U. de la ville de Bouillante - Site officiel de la Ville de Bouillante,https://www.ville-bouillante.fr/mes-demarches/travaux-et-urbanisme/g-n-a-u/,https://gnau45.operis.fr/bouillante/gnau/,G.N.A.U. de la ville de Bouillante gnau45.operis.fr,8,123,false,false,false,true,false,false,false,false,2024-02-10,2025-07-29,false,false
2,G.N.A.U. de la ville de Bouillante - Site officiel de la Ville de Bouillante,https://www.ville-bouillante.fr/mes-demarches/travaux-et-urbanisme/g-n-a-u/,https://gnau45.operis.fr/bouillante/gnau/,https://gnau45.operis.fr/bouillante/gnau/,8,123,false,false,false,true,false,false,false,false,2024-02-10,2025-07-29,false,false
1,MES DEMARCHES - MAIRIE CAPESTERRE 2023 MARIE GALANTE,https://www.capesterredemariegalante.fr/mes-demarches/,https://gnau45.operis.fr/ccmariegalante/gnau/#/,Accéder au Guichet Numérique,9,50,false,false,false,true,false,false,false,false,2024-06-12,2025-08-02,false,false
1,URBANISME - MAIRIE CAPESTERRE 2023 MARIE GALANTE GUADELUPE,https://www.capesterredemariegalante.fr/urbanisme/,https://gnau45.operis.fr/ccmariegalante/gnau/#/,Accéder au Guichet Unique,6,45,false,false,false,true,false,false,false,false,2024-06-09,2025-08-03,false,false
1,Mairie de Vieux-Habitants,https://www.villedevieuxhabitants.fr/fr/,https://gnau45.operis.fr/vieuxhabitants/gnau/,URBANISME,4,49,false,false,false,true,false,false,false,true,2025-04-11,2025-08-06,false,false
0,Les demandes d’autorisation d’urbanisme se dématérialisent | Guadeloupe Numérique,http://guadeloupe-numerique.fr/fr/content/les-demandes-d%E2%80%99autorisation-d%E2%80%99urbanisme-se-d%C3%A9mat%C3%A9rialisent,https://gnau45.operis.fr/deshaies/gnau/#/,Deshaies,16,31,false,false,false,true,false,false,false,false,2024-12-08,2025-07-31,false,false
0,Les demandes d’autorisation d’urbanisme se dématérialisent | Guadeloupe Numérique,http://www.guadeloupe-numerique.fr/fr/content/les-demandes-d%E2%80%99autorisation-d%E2%80%99urbanisme-se-d%C3%A9mat%C3%A9rialisent,https://gnau45.operis.fr/deshaies/gnau/#/,Deshaies,16,31,false,false,false,true,false,false,false,false,2024-12-13,2025-07-29,false,false
