Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
64,Accueil - Ville de Mandres les Roses,https://www.mandreslesroses.fr/,https://guichetunique.geosphere.fr/mandres-les-roses,,18,249,false,false,false,true,false,false,false,false,2024-08-19,2024-10-10,false,false
51,Villecroze – Site officiel de la commune,https://mairie-villecroze.fr/,https://guichetunique.geosphere.fr/villecroze/Login/Particulier,https://guichetunique.geosphere.fr/villecroze/Login/Particulier,7,47,false,false,false,true,false,false,false,false,2024-04-26,2024-09-03,false,true
47,Page d'Accueil,https://www.mairie-saintciersdecanesse.com/,https://guichetunique.geosphere.fr/estuaire,https://c,31,28,false,false,false,true,false,false,false,false,2023-05-09,2024-06-22,false,true
47,Site officiel de la Ville de Quint-Fonsegrives - Site officiel de la Ville de Quint-Fonsegrives,https://www.quint-fonsegrives.fr/,https://guichetunique.geosphere.fr/quint-fonsegrives/Login/AffichageReglementaire,Guichet unique : démarches d'urbanisme,9,117,false,false,false,true,false,false,false,false,2024-02-28,2024-09-15,false,true
20,Accueil - Cuges-Les-Pins : Cuges-Les-Pins,https://cuges-les-pins.fr/,https://guichetunique.geosphere.fr/cuges_portail/Login/Particulier,Portail urbanisme,19,76,false,false,false,false,false,false,true,true,2024-04-25,2024-06-23,false,false
19,Accueil - Précy-sous-Thil - Un écrin de verdure aux confins de l’Auxois-Morvan,https://precy-sous-thil.fr/,https://guichetunique.geosphere.fr/semur-en-auxois/,guichetunique.geosphere.fr/semur-en-auxois,11,10,false,false,false,true,false,false,false,true,2023-10-07,2024-09-25,false,false
18,Urbanisme Sète Agglopôle Méditerranée : les démarches se font aussi en ligne - midilibre.fr,https://www.midilibre.fr/2022/01/10/urbanisme-les-demarches-se-font-aussi-en-ligne-10036452.php,http://guichetunique.geosphere.fr/adspoleest,guichetunique.geosphere.fr/adspoleest,27,107,true,false,false,true,false,false,false,false,2024-05-27,2024-05-27,false,false
17,La ville d'Entrecasteaux - Entrecasteaux - Histoire,http://www.entrecasteaux.fr/articles.php?pg=art2,https://guichetunique.geosphere.fr/provence-verte,https://guichetunique.geosphere.fr/provence-verte,2,7,false,false,false,true,false,false,false,false,2023-11-08,2024-09-15,false,false
17,,https://urbanisme.clermontmetropole.eu/,https://guichetunique.geosphere.fr/beaumont/Login/Particulier,Accéder aux démarches ADS,3,22,false,false,false,true,false,false,false,false,2024-03-20,2024-10-09,false,false
12,Obligation Légale de Débroussaillement (OLD) | Site officiel de la ville de Toulon,https://toulon.fr/toulon-pratique/article/obligation-legale-de-debroussaillement-old,https://guichetunique.geosphere.fr/toulon/Login/Particulier,https://guichetunique.geosphere.fr/toulon/Login/Particulier,10,71,false,false,false,true,false,false,false,false,2024-04-02,2024-10-04,false,false
