Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
61,Site Internet de la Communauté de Communes du Pays du Coquelicot,https://www.paysducoquelicot.com/,https://ideau.atreal.fr/,Actes d'urbanisme,17,219,false,false,false,false,false,false,true,false,2024-08-05,2025-07-31,false,false
60,Mairie de Corneilla-la-Rivière (66550),http://www.corneilla-la-riviere.fr/,https://ideau.atreal.fr/cgu/,https://ideau.atreal.fr/cgu/,7,63,false,false,false,true,false,false,false,false,2025-01-21,2025-02-25,false,true
60,Mairie de Corneilla-la-Rivière (66550),http://www.corneilla-la-riviere.fr/,https://ideau.atreal.fr/,https://ideau.atreal.fr/,7,63,false,false,false,true,false,false,false,false,2025-01-21,2025-02-25,false,true
60,Site de la ville de Gonfreville l'Orcher,https://www.gonfreville-l-orcher.fr/,https://ideau.atreal.fr/,Dématérialisation des autorisations d'urbanisme,12,137,false,false,false,true,false,false,false,false,2023-02-22,2025-07-27,false,false
52,Ville de Ceyssac : site de la commune,https://www.ceyssac.fr/,https://ideau.atreal.fr/,Dématérialisation autorisations urbanisme,7,75,false,false,false,true,false,false,false,true,2024-08-10,2025-08-06,false,false
46,Site officiel de la commune de Nages et Solorgues - La mairie à votre service,https://www.nagesetsolorgues.fr/,https://ideau.atreal.fr/,Dépôt en ligne des demandes d'urbanisme,10,143,false,false,false,true,false,false,false,true,2024-12-10,2025-04-11,false,true
45,Accueil - Le Pian-Médoc,https://www.lepianmedoc.fr/,https://ideau.atreal.fr/,Déposer un dossier,5,89,false,false,false,true,false,false,false,false,2024-04-27,2025-07-31,false,false
44,Mairie | Saint-Blancard | Gers,https://www.saint-blancard.com/,https://ideau.atreal.fr/,https://ideau.atreal.fr,3,40,false,false,false,true,false,false,false,false,2024-12-06,2025-06-18,false,true
43,Saint-Chaptes Site officiel de la Commune de Saint Chaptes,http://www.saintchaptes.com/,https://ideau.atreal.fr/,Accéder à nouvelle plateforme IDE'AU,1,42,false,false,false,true,false,false,false,false,2025-06-13,2025-07-22,false,false
42,SERVICES,http://www.auboue.fr/,https://ideau.atreal.fr/,Assistance,8,48,false,false,false,true,false,false,false,false,2024-10-27,2025-08-02,false,false
