Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
50,TalentFly,https://talentfly.blogspot.com/,https://netagis.fr/,netagis,50178,7,true,false,false,true,false,false,false,false,2023-11-05,2024-10-09,false,false
48,,http://www.netagis.com/,https://www.netagis.fr/,,0,0,false,false,false,true,false,false,false,false,2021-07-01,2024-05-16,false,true
46,Ressons le Long - accueil,http://www.ressonslelong.com/,https://cc-retz-en-valois.urba.netagis.fr/NetADS/sve/CCVFR02,Déposer votre demande dautorisation durbanisme en ligne,9,115,false,false,false,true,false,false,false,false,2024-01-16,2024-10-07,false,false
38,Urbanisme | Communauté de communes des Coëvrons - Site officiel,https://www.coevrons.fr/article/urbanisme,https://cccoevrons.urba.netagis.fr/NetADS/sve/CCC53,Faire une demande en ligne,12,130,false,false,false,true,false,false,false,false,2023-07-14,2024-07-08,false,true
29,Site officiel de la commune de Juigné des Moutiers,http://www.juignedesmoutiers.fr/,https://ccc.urba.netagis.fr/NetADS/sve/CCCD44,https://ccc.urba.netagis.fr/NetADS/sve/CCCD44,3,70,false,false,false,true,false,false,false,false,2024-07-01,2024-09-19,false,false
24,Cartographie dynamique avec SVG,http://svgmap.free.fr/,https://www.netagis.fr/,NETAGIS,20,1,false,false,false,true,false,false,false,false,2021-07-16,2024-06-11,false,true
23,Geomarketing - Αναζήτηση Εικόνες,https://akam.bing.com/images/search?FORM=IRMHRS&q=Geomarketing,https://www.netagis.fr/fr/service/websig-professionnel/attachment/30-geomarketing/,netagis.fr,40,172,false,false,false,true,false,false,false,false,2023-06-06,2024-06-05,false,true
20,Demande d'urbanisme | CC Conflent Canigó,https://www.conflentcanigo.fr/demande-urbanisme,https://cccc66.urba.netagis.fr/NetADS/sve/CCC66/,Cliquez ici :,11,48,false,false,false,true,false,false,false,false,2024-04-26,2024-10-08,false,false
19,La dématérialisation de l’Application du droit des sols (ADS) - Communauté de communes Retz En Valois,https://www.cc-retz-en-valois.fr/event/la-dematerialisation-de-lapplication-du-droit-des-sols-ads/,https://cc-retz-en-valois.urba.netagis.fr/NetADS/sve/CCVFR02/,cc-retz-en-valois.urba.netagis.fr/NetADS/sve/CCVFR02/,12,93,false,false,false,true,false,false,false,false,2023-01-10,2024-10-10,false,false
19,Netagis - Crunchbase Company Profile & Funding,https://www.crunchbase.com/organization/netagis,https://www.netagis.fr/,www.netagis.fr/,6,65,true,false,false,true,false,false,false,false,2023-12-28,2024-08-03,false,false
16,WebGIS Anwendungsbeispiele – GISWiki,http://www.giswiki.org/wiki/WebGIS_Anwendungsbeispiele,https://www.netagis.fr/democadastre/cadastre/,NetaGIS-Beispiel,156,81,true,false,false,true,false,false,false,false,2024-02-06,2024-10-10,false,false
16,GROUPE GEOLIANCE à Saint-sÉbastien-sur-loire | Chiffre,https://infonet.fr/entreprises/88770815400026-groupe-geoliance/,http://www.netagis.fr/,netagis.fr,10,88,false,false,false,true,false,false,false,false,2024-01-04,2024-07-08,false,true
16,NOTRE SOCIÉTÉ - SMA NETAGIS,https://www.sma-netagis.fr/notre-societe/,https://www.netagis.fr/fr,,29,33,false,false,false,false,false,false,true,false,2024-02-16,2024-10-08,false,false
14,Bienvenue dans Adobe GoLive 5,http://tecfaetu.unige.ch/staf/staf-g/sierra/staf2x/fin.html,https://www.netagis.fr/fr/,Netagis entreprise /SIG,11,0,false,false,false,true,false,false,false,false,2024-02-07,2024-09-02,false,false
12,"Search results ip=""185.42.30.234"" - FOFA Search Engine",https://en.fofa.info/result?qbase64=aXA9IjE4NS40Mi4zMC4yMzQi,http://docker.netagis.fr/,docker.netagis.fr,4,95,false,false,false,true,false,false,false,false,2023-06-23,2024-04-15,false,true
11,Eglise de Nohèdes,https://app.panneaupocket.com/ville/1957900190-nohedes-66500?panneau=1347955295,https://cccc66.urba.netagis.fr/NetADS/sve/CCC66/,cccc66.urba.netagis.fr/NetADS/sve/CCC66/,13,38,false,false,false,true,false,false,false,false,2024-04-07,2024-09-17,false,false
11,Mairie d'Argenton-sur-Creuse - Accueil informatique BAZ'@Web,https://www.mairieargentonsurcreuse.com/index.php/habiter-argenton/accueil-informatique-baz-web,https://ccvalleedelacreuse.urba.netagis.fr/NetADS/sve/EAVC36,► accéder à la plateforme Urbanisme,34,67,false,false,false,true,false,false,false,false,2023-05-30,2024-04-08,false,true
11,Multimédia,https://www.usinenouvelle.com/article/multimedia.20758,https://www.netagis.fr/,www.netagis.com,26,102,false,false,false,true,false,false,false,false,2024-05-10,2024-05-10,false,false
10,Démarches administratives - Sion-les-Mines,https://www.intramuros.org/sion-les-mines/page/demarches,http://ccc.urba.netagis.fr/NETADS/sve/CCCD44,http://ccc.urba.netagis.fr/NETADS/sve/CCCD44,14,21,false,false,false,true,false,false,false,false,2024-01-14,2024-09-27,false,false
9,SERVICE URBANISME… MODE D’EMPLOI – Mairie de Vence,https://vence.fr/service-urbanisme-mode-demploi-2/,https://vence.urba.netagis.fr/,https://vence.urba.netagis.fr,11,425,false,false,false,true,false,false,false,false,2024-02-07,2024-09-23,false,false
9,"▷Société SMA NETAGIS à ORVAULT : CA, résultats, bilan gratuit, SIRET, dirigeants, solvabilité, n° TVA - manageo.fr",https://www.manageo.fr/entreprises/439285925.html,http://netagis.fr/,netagis.fr,9,67,false,false,false,true,false,false,false,false,2023-12-10,2024-09-15,false,false
9,Memoire Online - Conception et réalisation d'une application de webmapping d'analyse territoriale sur des SIG et bases de données open source : cas du territoire camerounais - Gael TCHIOFFO KODJO,https://www.memoireonline.com/02/10/3158/Conception-et-realisation-dune-application-de-webmapping-danalyse-territoriale-sur-des-SIG-et-bas.html,https://www.netagis.fr/index2.php?action=get&desc=default&desc=default&id=729&id=729&module=cms&module=cms%3Faction%3Dget,,77,218,true,false,false,true,false,false,false,false,2024-03-15,2024-09-01,false,false
8,Démarches d'urbanisme - Ville d'Évron,http://www.evron.fr/ma-ville/urbanisme-logement/demarches-durbanisme/,https://cccoevrons.urba.netagis.fr/NetADS/sve/CCC53/,Faire une demande en ligne,10,253,false,false,false,true,false,false,false,false,2024-01-11,2024-09-17,false,false
8,Forum GeoRezo / GPS garmin logiciel de recuperation de donnees,https://georezo.net/forum/viewtopic.php?id=10213,https://www.netagis.fr/fr/,www.netagis.com,11,57,false,false,false,true,false,false,false,false,2021-08-21,2024-09-23,false,false
8,"SMA NETAGIS (439285925) 🚦 - Solvabilité, dirigeants et avis - 2024",https://rubypayeur.com/societe/sma-netagis-439285925,https://www.netagis.fr/fr/,netagis.fr,17,53,true,false,false,true,false,false,false,false,2024-01-12,2024-06-11,false,false
7,,http://lunieme.free.fr/we_google.php,https://www.netagis.fr/fr/,www.netagis.com,14,4,false,false,false,true,false,false,false,false,2024-01-11,2024-08-16,false,false
7,Liste de liens web - Projet Syrfid SVG - 2003,http://sigfrance.free.fr/svg/liens_svg.htm,https://www.netagis.fr/fr/,http://www.netagis.com,50,1,false,false,false,true,false,false,false,false,2023-07-16,2024-10-01,false,false
7,Curlie - Commerce et économie: Services aux entreprise­s: Cartograph­ie et SIG: Géolocalis­ation,https://curlie.org/fr/Commerce_et_%C3%A9conomie/Services_aux_entreprises/Cartographie_et_SIG/G%C3%A9olocalisation,https://www.netagis.fr/fr/,Netagis,21,31,false,false,false,true,false,false,false,false,2024-05-21,2024-09-25,false,false
7,Déclaration d'urbanisme - Commune de Gasny,https://gasny.fr/en/rb/1663209/declaration-durbanisme,http://gasny.explorer.netagis.fr/explorer/public,http://gasny.explorer.netagis.fr/explorer/public,11,41,false,false,false,true,false,false,false,false,2023-12-29,2024-09-30,false,false
7,"Je dépose ma demande en ligne, [La Chapelle-Glain - Site de la Mairie]",https://la-chapelle-glain.fr/spip.php?article725,https://ccc.urba.netagis.fr/NetADS/sve/CCCD44,https://ccc.urba.netagis.fr/NetADS/sve/CCCD44,9,5,false,false,false,true,false,false,false,false,2024-10-02,2024-10-02,true,false
7,SMA NETAGIS : Les rencontres Decryptagéo,https://lesrencontres.decryptageo.fr/sma-netagis/,https://www.netagis.fr/fr/,sma-netagis,108,106,false,false,false,false,false,false,true,false,2021-08-09,2024-05-11,false,true
7,Loisirs et nature - Terre de Provence Agglomération,https://www.terredeprovence-agglo.com/Loisirs-et-nature,https://tpa.explorer.netagis.fr/,https://tpa.explorer.netagis.fr,3,59,true,false,false,true,false,false,false,false,2024-01-31,2024-10-04,false,false
6,Géolocalisation Web Directory: ODP.org > World > Français > Commerce et économie > Services aux entreprises > Cartographie et SIG > Géolocalisation Directory,http://odp.org/World/Fran%C3%A7ais/Commerce_et_%C3%A9conomie/Services_aux_entreprises/Cartographie_et_SIG/G%C3%A9olocalisation,https://www.netagis.fr/fr/,Netagis,13,15,false,false,false,true,false,false,false,false,2024-03-13,2024-08-26,false,false
6,URBANISME,http://www.isse.fr/la-vie-a-isse/urbanisme.html,https://ccc.urba.netagis.fr/NetADS/sve/CCCD44,ici,25,83,false,false,false,true,false,false,false,false,2024-02-09,2024-09-26,false,false
6,Netagis | Company | Mindmaps,https://platform.dkv.global/mind-map/firms/51043/,https://www.netagis.fr/,Visit Website,1,3,false,false,false,true,false,false,false,false,2024-02-21,2024-09-29,false,false
6,Urbanisme et habitat - CCSR - Communauté de Communes de la Sologne des Rivières,https://sologne-des-rivieres.fr/les-services-aux-usagers/urbanisme-et-habitat/,https://ccsolognedesrivieres.urba.netagis.fr/NetADS/sve/CCSR41,,17,54,false,false,false,false,false,false,true,false,2023-07-27,2024-09-29,false,false
6,SMA NETAGIS - Atlanpole,https://www.atlanpole.fr/adherents/sma-netagis/,https://www.netagis.fr/fr/,www.netagis.com,6,54,false,false,false,true,false,false,false,false,2024-01-09,2024-10-02,false,false
6,"Travaux, Urbanisme - Mairie de Villers-Cotterêts",https://www.mairie-villerscotterets.fr/travaux-urbanisme/,https://cc-retz-en-valois.urba.netagis.fr/NetADS/sve/CCVFR02/,cc-retz-en-valois.urba.netagis.fr/NetADS/sve/CCVFR02/,6,56,false,false,false,true,false,false,false,false,2024-03-25,2024-09-22,false,false
5,Autorisation d'urbanisme | CDC des Vallées d'Auge et du Merlerault,http://cdcvam.fr/autorisation-durbanisme,https://ccvam61.urba.netagis.fr/NetADS/sve/CCVAM61,https://www.coeurdenacre.fr/upload/editeur/reduites/picto_telechargement_demat.png,13,109,false,false,false,false,false,false,true,false,2024-02-10,2024-09-16,false,false
5,Règles d'urbanisme • Ville de Salbris - Loir-et-Cher,https://salbris.fr/vie-quotidienne/regles-durbanisme/,https://ccsolognedesrivieres.urba.netagis.fr/NetADS/sve/login.php,en cliquant ici,12,167,false,false,false,true,false,false,false,false,2023-05-16,2024-10-10,false,false
4,Mairie de Vaiges - PLUI Plan Local d'Urbanisme Intercommunal,http://mairiedevaiges.fr/les-coevrons/plui,https://cccoevrons.urba.netagis.fr/NetADS/sve/CCC53,Faire une demande en ligne,7,37,false,false,false,true,false,false,false,false,2024-06-28,2024-09-25,false,false
4,Blogmarks : Public marks from djacquet25,https://blogmarks.net/user/djacquet25,https://www.netagis.fr/index2.php?action=get&desc=default&desc=default&id=39&id=39&module=cms&module=cms%3Faction%3Dget,,26,18,false,false,false,false,false,false,true,false,2024-01-07,2024-09-19,false,false
4,[fr:44] Développeur Flash PHP MapServer - Forum d'entraide PHPFrance,https://forum.phpfrance.com/emplois-stages/developpeur-flash-php-mapserver-t23036.html,https://www.netagis.fr/fr/,http://www.netagis.com,9,30,false,false,false,true,false,false,false,false,2023-08-27,2024-09-26,false,false
4,SAISIE EN LIGNE DES DOSSIERS D’URBANISME | La Vallée de la Creuse - Services Intercommunaux,https://lavalleedelacreuse.fr/vivre/saisie-en-ligne-des-dossiers-durbanisme/,https://ccvalleedelacreuse.urba.netagis.fr/NETADS/sve/EAVC36,https://ccvalleedelacreuse.urba.netagis.fr/NETADS/sve/EAVC36,4,35,false,false,false,true,false,false,false,false,2023-09-28,2024-08-02,false,true
4,DEPOT DOSSIER D’URBANISME ST JULIEN DE VOUVANTES,https://stjuliendevouvantes.fr/index.php/2021/05/29/rdv-pour-depot-dossier-durbanisme/,https://ccc.urba.netagis.fr/NetADS/sve/CCCD44,ACCES AU SITE DE DEPOT DE DOSSIER D’URBANISME,7,146,false,false,false,true,false,false,false,false,2024-02-24,2024-09-24,false,false
