Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
56,Commune de Courmangoux - Site officiel,http://www.courmangoux.fr/,https://portail.siea-sig.fr/sve/#/001127/connexion,Mes démarches d'urbanisme en ligne,3,53,false,false,false,true,false,false,false,false,2025-07-04,2025-08-07,false,false
55,"Mairie Hauteville Lompnes, bienvenue sur le site officiel",https://www.plateauhauteville.fr/,https://portail.siea-sig.fr/sve/#/001185,,9,93,false,false,false,true,false,false,false,false,2023-08-01,2025-06-26,false,false
46,Commune de Courmangoux - Site officiel,https://www.courmangoux.fr/,https://portail.siea-sig.fr/sve/#/001127/connexion,Mes démarches d'urbanisme en ligne,3,53,false,false,false,true,false,false,false,false,2025-07-04,2025-08-04,false,false
43,Mogneneins - Bienvenue sur le site de la commune de Mogneneins,http://mogneneins.com/,https://portail.siea-sig.fr/sve/#/001252/connexion,https://portail.siea-sig.fr/,11,122,false,false,false,true,false,false,false,false,2024-11-25,2025-02-09,false,false
34,Accueil - champfromier01.fr,https://champfromier01.fr/,https://portail.siea-sig.fr/sve,cliquant ici.,7,28,false,false,false,true,false,false,false,false,2024-03-14,2025-08-06,false,false
34,Accueil - Montmerle-sur-Saône,https://www.mairie-montmerle.fr/,https://portail.siea-sig.fr/sve/#/001263/connexion,portail urba,28,104,false,false,false,false,false,false,true,false,2025-03-01,2025-08-06,false,false
28,PLUiH et autorisation d'urbanisme - Pays de Gex agglo,https://www.paysdegexagglo.fr/15095-pluih.htm,https://portail.siea-sig.fr/,portail siea-sig.fr,7,58,false,false,false,true,false,false,false,false,2023-09-08,2025-03-06,false,true
25,Urbanisme | Site officiel de la mairie de Premeyzel,https://www.premeyzel.fr/urbanisme,https://portail.siea-sig.fr/,Démarches en ligne,13,6,false,false,false,true,false,false,false,false,2024-09-11,2025-07-25,false,false
22,Accueil - Montmerle-sur-Saône,https://www.mairie-montmerle.fr/,https://portail.siea-sig.fr/sve/#/communesList,portail urba,17,79,false,false,false,false,false,false,true,false,2024-01-19,2025-03-01,false,true
15,"Mairie Hauteville Lompnes, bienvenue sur le site officiel",http://www.plateauhauteville.fr/,https://portail.siea-sig.fr/sve/#/001185,,9,94,false,false,false,true,false,false,false,false,2024-08-02,2025-07-25,false,false
15,Accueil - Mes démarches | Ville de Bourg-en-Bresse,https://mesdemarches.bourgenbresse.fr/,https://portail.siea-sig.fr/sve/#/001053/connexion,Je fais une saisine par Voie Électronique des Autorisations d’Urbanisme,38,49,false,false,false,true,false,false,false,false,2024-07-05,2025-07-29,false,false
15,Mairie de Poncin,https://www.poncin.fr/,https://portail.siea-sig.fr/sve/#/001303,Dématérialisation des dossiers ADS,3,111,false,false,false,true,false,false,false,false,2024-09-03,2025-03-06,false,false
14,Mairie Montagnieu (FR-01) ⚠️ Alertes & informations municipales,https://app.panneaupocket.com/ville/1717126538-montagnieu-01470,https://portail.siea-sig.fr/sve/#/001255/,https://portail.siea-sig.fr/sve/#/001255/,23,53,false,false,false,true,false,false,false,false,2023-09-03,2025-02-03,false,true
13,Mairie Druillat (FR-01) ⚠️ Alertes & informations municipales,https://app.panneaupocket.com/ville/1162488436-druillat-01160,http://portail.siea-sig.fr/sve/#/001151/,http://portail.siea-sig.fr/sve/#/001151/,12,38,false,false,false,true,false,false,false,false,2025-02-06,2025-03-10,false,true
13,CALENDRIER COLLECTE DECHETS,https://app.panneaupocket.com/ville/1162488436-druillat-01160?panneau=1225260494,http://portail.siea-sig.fr/sve/#/001151/,http://portail.siea-sig.fr/sve/#/001151/,12,36,false,false,false,true,false,false,false,false,2025-02-08,2025-04-03,false,true
10,News - Dépôt dématérialisé des autorisations d'urbanisme - Mairie de Pont d'Ain illiwap news | illiwap®,https://station.illiwap.com/en/public/01304/actu/depot-dematerialise-des-autorisations-durbanisme-1,http://portail.siea-sig.fr/sve/#/001304,http://portail.siea-sig.fr/sve/#/001304,4,20,false,false,false,true,false,false,false,false,2025-01-22,2025-07-12,false,false
10,News - AUTORISATIONS URBANISME - Mairie de Sonthonnax-La-Montagne illiwap news | illiwap®,https://station.illiwap.com/en/public/01410/actu/autorisations-urbanisme,https://portail.siea-sig.fr/,https://portail.siea-sig.fr,4,20,false,false,false,true,false,false,false,false,2025-02-09,2025-07-31,false,false
10,News - DEMANDES D'AUTORISATION D'URBANISME - Mairie de Sonthonnax-La-Montagne illiwap news | illiwap®,https://station.illiwap.com/en/public/01410/actu/demandes-dautorisation-durbanisme-5,https://portail.siea-sig.fr/sve/#/001410/connexion,https://portail.siea-sig.fr/sve/#/001410/connexion,5,20,false,false,false,true,false,false,false,false,2024-12-12,2025-06-08,false,false
10,Saisine par Voie Électronique des Autorisations d’Urbanisme - Bourg-en-Bresse,https://www.bourgenbresse.fr/2909-saisine-par-voie-electronique-des-autorisations-d-urbanisme.htm,https://portail.siea-sig.fr/sve/#/001053/connexion,ce lien,2,196,false,false,false,true,false,false,false,false,2023-09-13,2025-07-05,false,true
10,Saisine par Voie Électronique des Autorisations d’Urbanisme - Bourg-en-Bresse,https://www.bourgenbresse.fr/2909-saisine-par-voie-electronique-des-autorisations-d-urbanisme.htm,https://portail.siea-sig.fr/sve/#/001053/connexion,,2,196,false,false,false,false,false,false,true,false,2023-09-13,2025-07-05,false,true
9,Demande d'autorisation d'urbanisme en ligne - Marboz,https://marboz.grandbourg.fr/2937-demande-d-autorisation-d-urbanisme-en-ligne.htm,https://portail.siea-sig.fr/sve/#/001232/,https://portail.siea-sig.fr/sve/#/001232/,3,98,false,false,false,true,false,false,false,false,2023-05-08,2025-06-06,false,true
9,INFORMATIONS DIVERSES - VILLEREVERSURE,https://villereversure.grandbourg.fr/2209-informations-diverses.htm,https://portail.siea-sig.fr/sve/#/communesList,https://portail.siea-sig.fr/sve,1,101,false,false,false,true,false,false,false,false,2025-01-12,2025-02-28,false,true
9,Saisine par voie dématérialisée - Instruction des autorisations d'urbanisme - Ha,https://www.cc-plainedelain.fr/fr/saisine-par-voie-dematerialisee.html,https://portail.siea-sig.fr/sve/#/001421/,Torcieu,57,82,false,false,false,true,false,false,false,false,2024-05-27,2025-07-09,false,false
9,Saisine par voie dématérialisée - Instruction des autorisations d'urbanisme - Ha,https://www.cc-plainedelain.fr/fr/saisine-par-voie-dematerialisee.html,https://portail.siea-sig.fr/sve/#/001213/,Leyment,57,82,false,false,false,true,false,false,false,false,2024-05-27,2025-07-09,false,false
9,Saisine par voie dématérialisée - Instruction des autorisations d'urbanisme - Ha,https://www.cc-plainedelain.fr/fr/saisine-par-voie-dematerialisee.html,https://portail.siea-sig.fr/sve/#/001017/,Argis,57,82,false,false,false,true,false,false,false,false,2024-05-27,2025-07-09,false,false
9,Urbanisme - Mairie de Ferney-Voltaire,https://www.ferney-voltaire.fr/vivre-a-ferney-voltaire/cadre-de-vie/urbanisme/,https://portail.siea-sig.fr/sve/#/001160/connexion,Déposez ici vos projets,24,202,false,false,false,true,false,false,false,false,2024-08-27,2025-07-29,false,false
9,Dématérialisation des autorisations de droit de sols (ADS) | Saint-Genis-Pouilly,https://www.saint-genis-pouilly.fr/actus/dematerialisation-des-autorisations-de-droit-de-sols-ads,https://portail.siea-sig.fr/sve/#/communesList,https://portail.siea-sig.fr/sve/#/communesList,6,126,false,false,false,true,false,false,false,false,2023-09-15,2025-05-02,false,true
9,Urbanisme | Saint-Genis-Pouilly,https://www.saint-genis-pouilly.fr/urbanisme,https://portail.siea-sig.fr/sve,https://portail.siea-sig.fr/sve,9,126,false,false,false,true,false,false,false,false,2023-03-07,2025-05-06,false,true
8,L'urbanisme à Meximieux : tout sur les autorisations de travaux,https://ville-meximieux.fr/mes-demarches/urbanisme/,https://portail.siea-sig.fr/sve/#/001244/connexion,portail créé à cet effet.,29,73,false,false,false,true,false,false,false,false,2024-03-17,2025-04-04,false,true
8,Autorisations d’urbanisme,https://www.belley.fr/demarches-services/urbanisme-eau-travaux/autorisations-urbanisme/,https://portail.siea-sig.fr/sve/#/communesList,en ligne,18,96,false,false,false,true,false,false,false,false,2024-12-03,2025-08-02,false,false
8,Urbanisme et travaux - Mairie de Ferney-Voltaire,https://www.ferney-voltaire.fr/effectuer-vos-demarches/urbanisme-et-travaux/,https://portail.siea-sig.fr/sve/#/001160/connexion,Déposez ici vos projets,17,156,false,false,false,true,false,false,false,false,2024-08-26,2025-07-31,false,false
8,Démarches d'urbanisme | Ville de Gex,https://www.gex.fr/demarches-durbanisme/,https://portail.siea-sig.fr/sve/#/communesList,ICI,20,118,false,false,false,true,false,false,false,false,2024-12-02,2025-06-21,false,false
8,Démarches d'urbanisme | Ville de Gex,https://www.gex.fr/demarches-durbanisme/,https://portail.siea-sig.fr/sve/#/communesList,",",20,118,false,false,false,true,false,false,false,false,2024-12-02,2025-06-21,false,false
8,Urbanisme : saisine et dépôt des dossiers par voie électronique | Ville de Gex,https://www.gex.fr/urbanisme-saisine-et-depot-des-dossiers-par-voie-electronique/,https://portail.siea-sig.fr/sve/#/communesList,"https://portail.siea-sig.fr/sve/#/communesList ,",15,99,false,false,false,true,false,false,false,false,2024-12-11,2025-06-17,false,false
8,Démarches en ligne - Ville d'Oyonnax,https://www.oyonnax.fr/mon-quotidien/urbanisme/demarches-en-ligne/,https://portail.siea-sig.fr/sve/#/001283/connexion,> Accéder au service en ligne <<,6,130,false,false,false,true,false,false,false,false,2024-06-04,2025-05-28,false,true
8,Urbanisme | Saint-Genis-Pouilly,https://www.saint-genis-pouilly.fr/urbanisme,https://portail.siea-sig.fr/sve,Faire une demande,11,7,false,false,false,true,false,false,false,false,2025-06-16,2025-07-27,false,false
7,Démarche en Ligne - Commune de Groslée-Saint-Benoit,https://grosleesaintbenoit.fr/fr/rb/1424490/demarche-en-ligne-2,https://portail.siea-sig.fr/sve/#/001338/connexion,Lien direct pour la commune de Groslée-Saint-Benoit cliquer ici,10,56,false,false,false,true,false,false,false,false,2024-05-29,2025-06-04,false,true
7,Démarche en Ligne - Commune de Groslée-Saint-Benoit,https://grosleesaintbenoit.fr/fr/rb/1424490/demarche-en-ligne-2,https://portail.siea-sig.fr/sve/#/communesList,"https://portail.siea-sig.fr/sve/#/communesList Une fois déposée, votre demande sera transmise au service instructeurpar voie dématérialisée. Les services de la commune restent vos interlocuteurs privilégiés pour vous accompagner tout au long de la procédure.",10,56,false,false,false,true,false,false,false,false,2024-05-29,2025-06-04,false,true
7,"Formalités d'Urbanisme, PLU, Cadastre - Mairie de Pont d'Ain",https://pontdain.fr/demarches/urbanisme-plu-cadastre/,https://portail.siea-sig.fr/sve/#/001304,https://portail.siea-sig.fr/sve/#/001304,13,97,false,false,false,true,false,false,false,false,2024-10-20,2025-07-29,false,false
7,Dépôt dématérialisé des autorisations d'urbanisme - Mairie de Pont d'Ain,https://pontdain.fr/depot-dematerialise-des-autorisations-durbanisme/,https://portail.siea-sig.fr/sve/#/001304,https://portail.siea-sig.fr/sve/#/001304,5,101,false,false,false,true,false,false,false,false,2024-11-03,2025-07-31,false,false
7,Les cessions immobilières - Amberieu en Bugey,https://ville-amberieuenbugey.fr/les-cessions-immobilieres/,https://portail.siea-sig.fr/sve/#/001004/,https://portail.siea-sig.fr/sve/#/001004/,4,61,false,false,false,true,false,false,false,false,2024-06-04,2025-05-13,false,true
7,LA DÉMATÉRIALISATION DU SERVICE URBANISME - Meximieux,https://ville-meximieux.fr/la-dematerialisation-du-service-urbanisme/,https://portail.siea-sig.fr/sve/#/001244/connexion,https://portail.siea-sig.fr/sve/#/001244/connexion,7,49,false,false,false,true,false,false,false,false,2024-08-16,2025-07-21,false,false
7,L'urbanisme à Meximieux : tout sur les autorisations de travaux,https://ville-meximieux.fr/mes-demarches/urbanisme/,https://portail.siea-sig.fr/,portail créé à cet effet.,30,77,false,false,false,true,false,false,false,false,2025-04-04,2025-08-04,false,false
7,chavannes sur reyssouze - Site officiel,https://www.chavannessurreyssouze.fr/fr/,https://portail.siea-sig.fr/sve/#/001094/connexion,lien pour effectuer vos demandes,11,68,false,false,false,true,false,false,false,false,2024-12-12,2025-06-05,false,true
