Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
45,Accueil - Tourrettes-sur-Loup,https://tourrettessurloup.com/,https://sve.sictiam.fr/#/006148/connexion,Dépôt de permis (dématérialisé),40,174,false,false,false,true,false,false,false,false,2024-03-17,2024-10-10,false,false
43,Mairie Colle sur Loup - Site OFFICIEL - Commune Colle sur Loup,https://lacollesurloup.fr/,https://sve.sictiam.fr/#/006044/connexion,Dématérialisation des demandes d’autorisation d’urbanisme,21,98,false,false,false,true,false,false,false,true,2024-09-28,2024-10-09,true,false
14,Mairie,https://www.saintmartinvesubie.fr/mairie.html,https://sve.sictiam.fr/#/006127/connexion,https://sve.sictiam.fr/#/006127/connexion,29,90,false,false,false,true,false,false,false,false,2023-04-23,2024-09-28,false,false
11,Saint Auban | Site officiel,https://www.saintauban.fr/,https://sve.sictiam.fr/#/006116/connexion,Guichet urbanisme,4,45,false,false,false,true,false,false,false,true,2024-06-19,2024-09-20,false,false
9,Construire à Mougins - Mougins | Site officiel de la Ville de Mougins,https://mougins.fr/vivre/urbanisme/construire-a-mougins/,https://sve.sictiam.fr/#/006085/connexion,https://sve.sictiam.fr/#/006085/connexion,30,44,false,false,false,true,false,false,false,false,2024-02-05,2024-10-09,false,false
9,Ville de Carros - Urbanisme,https://ville-carros.fr/mes-demarches/marches-publics/59-mes-demarches/urbanisme,https://sve.sictiam.fr/#/006033/connexion,https://sve.sictiam.fr/#/006033/connexion,15,129,false,false,false,true,false,false,false,false,2023-11-27,2024-09-20,false,false
8,Urbanisme - Beaulieu-sur-Mer,https://ville.beaulieusurmer.fr/votre-mairie/urbanisme/,https://sve.sictiam.fr/#/006011/connexion,Pour les autres dépôts de dossiers,18,74,false,false,false,true,false,false,false,false,2024-05-25,2024-08-27,false,false
8,Service urbanisme - Mairie de Cap d'ail,https://www.cap-dail.fr/vivre-a-cap-dail/urbanisme/service-urbanisme/,https://sve.sictiam.fr/#/006032/connexion,Déposer un dossier,11,51,false,false,false,true,false,false,false,false,2024-09-24,2024-09-24,true,false
8,Urbanisme - Ville de Grasse,https://www.grasse.fr/urbanisme.html,https://sve.sictiam.fr/#/006069/connexion,Rendez-vous sur l'espace dédié,12,415,false,false,false,true,false,false,false,false,2024-02-05,2024-07-02,false,false
8,"Le Beausset : site officiel de la commune (Var, PACA, France)",https://www.ville-lebeausset.fr/fr/dematerialisation-des-demandes.htm,https://sve.sictiam.fr/#/083016/connexion,https://sve.sictiam.fr/#/083016/connexion,14,63,false,false,false,true,false,false,false,false,2023-12-30,2024-09-15,false,false
7,Démarches en ligne - Site de Gattières,https://gattieres.fr/demarches-en-ligne/,https://sve.sictiam.fr/#/006064/connexion,saisine par voie éléctronique,7,83,false,false,false,true,false,false,false,false,2024-03-31,2024-10-07,false,false
7,GUICHET NUMÉRIQUE DU DROIT DES SOLS - Mairie Le Rouret,https://lerouret.fr/guichet-numerique-du-droit-des-sols-actualite/,https://sve.sictiam.fr/#/006112/connexion,https://sve.sictiam.fr/#/006112/connexion,7,64,false,false,false,true,false,false,false,false,2024-03-30,2024-10-09,false,false
7,Urbanisme - Mairie de Levens,https://levens.fr/votre-mairie/urbanisme/,https://sve.sictiam.fr/#/006075/connexion,cliquez ici,14,86,false,false,false,true,false,false,false,false,2023-11-06,2024-09-18,false,false
7,Urbanisme - Saint Etienne de Tinée,https://saintetiennedetinee.fr/urbanisme/,https://sve.sictiam.fr/#/006120/connexion,Cliquez ici,21,65,false,false,false,true,false,false,false,false,2024-06-23,2024-09-26,false,false
7,Urbanisme - Saint Vallier de Thiey,https://saintvallierdethiey.com/urbanisme/,https://sve.sictiam.fr/#/006130/connexion,ACCEDEZ AU PORTAIL DES DEMANDES,9,109,false,false,false,true,false,false,false,false,2023-10-10,2024-09-27,false,false
7,Aménagement et Urbanisme,https://villedelatrinite.fr/vie-municipale/services-municipaux/amenagement-et-urbanisme/,https://sve.sictiam.fr/#/006149/connexion,Se rendre sur la plateforme de dépôt,19,76,false,false,false,true,false,false,false,false,2023-12-02,2024-10-07,false,false
7,Dématérialisation de vos démarches d'urbanisme à Pégomas,https://villedepegomas.com/dematerialisation-demarche-urbanisme-pegomas/,https://sve.sictiam.fr/#/006090/connexion,https://sve.sictiam.fr/#/006090/connexion,10,99,false,false,false,true,false,false,false,false,2024-04-06,2024-09-16,false,false
7,Urbanisme - La Turbie,https://www.ville-la-turbie.fr/urbanisme/,https://sve.sictiam.fr/#/006150/connexion,Déposer mes dossiers d'urbanisme en ligne,10,139,false,false,false,true,false,false,false,false,2023-11-03,2024-10-04,false,false
7,ROQUEFORT-LES-PINS,https://www.ville-roquefort-les-pins.fr/article_fiche.asp?article_numero=22,https://sve.sictiam.fr/#/006105/connexion,,4,97,false,false,false,false,false,false,true,false,2024-04-03,2024-09-15,false,false
6,Déposer ma demande d’autorisation d’urbanisme,http://saintcezairesursiagne.fr/index.php/urbanisme/urbanisme-travaux/deposer-ma-demande-d-autorisation-d-urbanisme,https://sve.sictiam.fr/#/006118/connexion,DEPOSER MA DEMANDE D'AUTORISATION D'URBANISME - CLIQUEZ ICI,7,117,false,false,false,true,false,false,false,false,2023-11-17,2024-09-22,false,false
6,Autorisations d’urbanisme | Peymeinade,https://peymeinade.fr/ma-ville/amenagement-et-urbanisme/autorisations-durbanisme/,https://sve.sictiam.fr/#/006095/connexion,https://sve.sictiam.fr/#/006095/connexion,10,72,false,false,false,true,false,false,false,false,2023-11-04,2024-10-07,false,false
6,SAISINE PAR VOIE ÉLECTRONIQUE DES DEMANDES D’AUTORISATION D’URBANISME - Mairie de Théoule sur Mer,https://theoule-sur-mer.fr/dossiers-durbanisme-gagnez-du-temps-facilitez-vous-la-vie-et-protegez-lenvironnement/,https://sve.sictiam.fr/#/006138/connexion,https://sve.sictiam.fr/#/006138/connexion,12,66,false,false,false,true,false,false,false,false,2023-11-10,2024-09-25,false,false
6,,https://ville-chateauneuf.fr/page.php?cat=urbanisme&rubrique=02-demarches,https://sve.sictiam.fr/#/006038/connexion,Autorisation d'urbanisme,12,9,false,false,false,true,false,false,false,false,2024-02-04,2024-10-03,false,false
6,Urbanisme - SVE - Saint-Jeannet,https://www.saintjeannet.org/urbanisme-saisine-voie-electronique/,https://sve.sictiam.fr/#/006122/connexion,https://sve.sictiam.fr/#/006122/connexion,12,75,false,false,false,true,false,false,false,false,2024-03-31,2024-10-04,false,false
5,Dématérialisation des demandes d'autorisation - Saint-Paul-de-Vence,http://saintpauldevence.org/dematerialisation-des-demandes-dautorisation/,https://sve.sictiam.fr/#/006128/connexion,plateforme du SICTIAM,7,50,false,false,false,true,false,false,false,false,2024-03-20,2024-10-07,false,false
5,Votre maison,https://gareoult.fr/60-votre-quotidien/votre-maison,https://sve.sictiam.fr/#/083064/connexion,Faire ma demande d'autorisation,38,146,false,false,false,true,false,false,false,false,2023-11-16,2024-09-13,false,false
5,Urbanisme - Tourrette-Levens,https://tourrette-levens.fr/urbanisme/,https://sve.sictiam.fr/#/006147/connexion,Cliquez ici : https://sve.sictiam.fr/#/006147/connexion,22,100,false,false,false,true,false,false,false,false,2024-02-23,2024-10-03,false,false
5,Urbanisme - Mairie de La Roquette-sur-Siagne,https://www.laroquettesursiagne.com/mairie/renseignements-et-demarches/urbanisme/,https://sve.sictiam.fr/#/006108/connexion,Procéder au dépôt d'une autorisation d'urbanisme par voie dématérialiser - cliquez ICI -,23,122,false,false,false,true,false,false,false,false,2024-03-18,2024-10-04,false,false
5,Construire ou rénover - Le Broc,https://www.lebroc.fr/vivre-au-broc/urbanisme/construire-ou-renover-au-broc/,https://sve.sictiam.fr/#/006025/connexion,Connexion à la plateforme,24,102,false,false,false,true,false,false,false,false,2023-06-09,2024-09-28,false,false
5,Site Officiel - Dématérialisation - Mairie Le Tignet,https://www.letignet.fr/urbanisme/dematerialisation/,https://sve.sictiam.fr/#/006140/connexion,https://sve.sictiam.fr/#/006140/connexion,8,70,false,false,false,true,false,false,false,false,2024-01-26,2024-09-16,false,false
5,Urbanisme - Municipalité de Sospel,https://www.sospel.fr/vie-pratique/urbanisme/,https://sve.sictiam.fr/#/006136/connexion,saisines par voie électronique,11,48,false,false,false,true,false,false,false,false,2024-06-11,2024-10-01,false,false
5,Urbanisme - Ville de Grasse,https://www.ville-grasse.fr/minisites/kiosque/urbanisme.html,https://sve.sictiam.fr/#/006069/connexion,Rendez-vous sur l'espace dédié,13,414,false,false,false,true,false,false,false,false,2024-02-29,2024-07-03,false,false
5,Urbanisme | Ville de Villeneuve Loubet | Villeneuve-Loubet,https://www.villeneuveloubet.fr/urbanisme,https://sve.sictiam.fr/#/006161/connexion,https://sve.sictiam.fr/#/006161/connexion,14,181,false,false,false,true,false,false,false,false,2024-06-23,2024-06-23,false,false
4,Urbanisme et police rurale - Mairie de Drap,http://www.ville-drap.fr/la-mairie/urbanisme-et-police-rurale/,https://sve.sictiam.fr/#/006054/connexion,"Pour effectuer les démarches concernant les demandes ci-dessous, cliquez ici.",3,83,false,false,false,true,false,false,false,false,2024-01-30,2024-10-02,false,false
4,Dépôt de demandes d'urbanisme - Auribeau-sur-Siagne,https://www.auribeausursiagne.fr/depot-de-demandes-durbanisme/,https://sve.sictiam.fr/#/006007/connexion,Portail des usagers,11,64,false,false,false,true,false,false,false,false,2024-02-11,2024-09-30,false,false
4,Urbanisme et travaux - Mairie de Cabris,https://www.cabris.fr/urbanisme-environnement/urbanisme-et-travaux/,https://sve.sictiam.fr/#/006026/connexion,https://sve.sictiam.fr/#/006026/connexion,15,82,false,false,false,true,false,false,false,false,2024-04-13,2024-09-30,false,false
4,Autorisations d'urbanisme - Spéracèdes - Site officiel,https://www.speracedes.fr/urbanisme/autorisations-durbanisme/,http://sve.sictiam.fr/#/006137/connexion,http://sve.sictiam.fr/#/006137/connexion,6,67,false,false,false,true,false,false,false,false,2024-01-20,2024-09-28,false,false
3,Andon Thorenc Canaux - Urbanisme & environnement,http://ville-andon.com/index.php/urbanisme-et-environnement/construire-sur-la-commune,https://sve.sictiam.fr/#/006003/connexion,https://sve.sictiam.fr/#/006003/connexion,12,104,false,false,false,true,false,false,false,false,2024-02-16,2024-09-29,false,false
3,Dépôt de demandes d’urbanisme par voie dématérialisée (À partir du 01/01/2022) - Le Mas,https://commune-lemas.fr/urbanisme/depot-de-demandes-durbanisme-par-voie-dematerialisee-a-partir-du-01-01-2022/,https://sve.sictiam.fr/#/006081/connexion,https://sve.sictiam.fr/#/006081/connexion,4,40,false,false,false,true,false,false,false,false,2024-01-18,2024-09-14,false,false
2,AMENAGER & CONSTRUIRE - Mairie de Séranon,https://mairiedeseranon.fr/amenager-construire/,https://sve.sictiam.fr/#/006134/connexion,Cliquez ici,22,59,false,false,false,true,false,false,false,false,2024-03-17,2024-10-01,false,false
2,Urbanisme - Mairie de Caille,https://ville-caille.com/les-services/urbanisme/,https://sve.sictiam.fr/#/006028/connexion,https://sve.sictiam.fr/#/006028/connexion,10,51,false,false,false,true,false,false,false,false,2024-01-22,2024-10-02,false,false
0,Urbanisme,http://village-amirat.fr/urbanisme,https://sve.sictiam.fr/#/006002/connexion,https://sve.sictiam.fr/#/006002/connexion,3,13,false,false,false,true,false,false,false,false,2024-04-24,2024-10-04,false,false
