Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
76,Le GNAU - Médoc Atlantique,https://www.ccmedocatlantique.fr/urbanismeamenagement/urbanisme/le-guichet-numerique-des-autorisations-d-urbanisme/,https://sve.sirap.fr/#/communesList,Accéder au Guichet Numérique d'Autorisation d’Urbanisme,16,81,false,false,false,true,false,false,false,false,2025-07-30,2025-08-07,true,false
76,Ville de Nyons,https://www.nyons.com/,https://sve.sirap.fr/#/026220/connexion,Portail Usager Urbanisme Portail Usager Urbanisme,7,130,false,false,false,false,false,false,true,false,2025-07-10,2025-07-30,true,false
66,Accueil - Grand Sénonais,https://www.grand-senonais.fr/,https://sve.sirap.fr/#/communesList,Les documents d'urbanisme,36,117,false,false,false,true,false,false,false,false,2025-02-18,2025-07-26,false,false
66,Accueil - Grand Sénonais,https://www.grand-senonais.fr/,https://sve.sirap.fr/#/communesList,,36,117,false,false,false,true,false,false,false,false,2025-02-18,2025-07-26,false,false
64,"coupiacsudaveyron.fr, site de la Mairie de Coupiac dans l'Aveyron (12) - Occitanie",https://www.coupiacsudaveyron.fr/,https://sve.sirap.fr/#/012080/connexion,Demande en ligne des autorisations d'urbanisme,4,48,false,false,false,true,false,false,false,false,2023-06-09,2025-08-05,false,false
60,"Montchenu - Le site officiel, actualités, informations pratiques, etc...",https://lapagelocale.fr/26350-montchenu,https://sve.sirap.fr/#/026194/connexion,Affiche,4,1,true,false,false,false,false,false,true,false,2025-01-12,2025-07-23,false,false
59,Cénevières - Cénevières,https://www.cenevieres.fr/,https://sve.sirap.fr/#/046068/connexion,Dépôt des dossiers d'urbanisme dématérialisés,8,57,false,false,false,true,false,false,false,false,2025-05-31,2025-06-17,false,false
57,Mairie de Vensac - Médoc - le Noeud Papillon du Médoc,http://www.vensac-medoc.com/,https://sve.sirap.fr/#/033541/connexion,Voir la suite,9,48,false,false,false,true,false,false,false,false,2025-06-20,2025-07-28,false,false
57,Accueil - Communauté de Communes Yonne Nord,https://yonne-nord.fr/,https://sve.sirap.fr/,Demandes en ligne,12,62,false,false,false,true,false,false,false,true,2024-10-26,2025-08-05,false,false
55,Jullié Beaujolais Mairie de Jullié - Site officiel | entre Saône Beaujolais et Haut-Beaujolais,https://jullie-beaujolais.fr/,https://sve.sirap.fr/#/069104/connexion,https://sve.sirap.fr/#/069104/connexion,4,24,false,false,false,true,false,false,false,false,2024-06-29,2025-08-07,false,false
