Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
66,Communauté de Communes Aunis Atlantique,https://www.aunisatlantique.fr/,https://cdc-aunisatlantique.urbanisme17.fr/gnaucdcaunisatlantique/,Picto Actualités Demandes d’urbanisme,17,190,false,false,false,false,false,false,true,false,2024-04-04,2024-10-10,false,false
61,Questionnaire Réseau des Bibliothèques - Aunis Sud : Aunis Sud,https://aunis-sud.fr/questionnaire-reseau-des-bibliotheques/,https://cdc-aunissud.urbanisme17.fr/gnaucdcaunissud/#/,Autorisations d'urbanisme Autorisations d'urbanisme,13,106,false,false,false,false,false,false,true,false,2024-03-06,2024-10-09,false,false
55,Accueil - Communauté de communes du Bassin de Marennes,https://www.bassin-de-marennes.com/,https://pmo.urbanisme17.fr/cdcbassinmarennes/gnau/#/,Autorisations d'urbanisme,12,101,false,false,false,false,false,false,true,false,2024-02-22,2024-08-16,false,false
54,Musée des Cordeliers - Ville de Saint-Jean-d'Angély,https://www.angely.net/services-publics/culture/musee-des-cordeliers/,https://www.urbanisme17.fr/gnaustjeanangely/#/,Autorisation d'urbanisme,10,66,false,false,false,false,false,false,true,true,2024-04-12,2024-08-21,false,false
53,Accueil - Site officiel des Vals de Saintonge,https://www.valsdesaintonge.fr/,https://www.urbanisme17.fr/gnaucdcvalsdesaintonge/#/,Icône Urbanisme,16,479,false,false,false,false,false,false,true,false,2024-04-01,2024-06-02,false,true
52,FranceConnect - Accédez simplement aux services publics,https://franceconnect.gouv.fr/nos-services,https://stpierreoleron.urbanisme17.fr/gnau/,Ville de Saint Pierre d'Oléron GNAU,595,9,false,false,false,true,false,false,false,false,2024-02-27,2024-07-04,false,false
44,Loix,https://www.loix.fr/,https://cdc-iledere.urbanisme17.fr/gnaucdciledere/#/,Urbanisme,6,62,false,false,false,true,false,false,false,false,2024-03-28,2024-09-17,false,false
36,Site de la ville d'Arvert Charente Maritime 17,https://www.arvert.fr/,https://www.urbanisme17.fr/gnauarvert/#/,Démarches urbanisme,14,115,false,false,false,true,false,false,false,true,2024-03-10,2024-10-08,false,false
32,Asnières-la-Giraud,https://www.asniereslagiraud17.com/,http://www.urbanisme17.fr/gnaucdcvalsdesaintonge,www.urbanisme17.fr/gnaucdcvalsdesaintonge,26,200,true,false,false,true,false,false,false,false,2024-07-19,2024-08-30,false,false
29,Accueil - Mairie de Saint Sauveur d'Aunis,https://stsauveurdaunis.fr/,https://cdc-aunisatlantique.urbanisme17.fr/gnaucdcaunisatlantique/#/,EN SAVOIR PLUS,3,69,false,false,false,true,false,false,false,false,2024-03-07,2024-09-20,false,false
20,Accueil - Site officiel de la commune de Dolus d'Oléron,https://www.ville-dolus-oleron.fr/,https://pmo.urbanisme17.fr/gnaucdcileoleron/#/,En savoir plus,5,148,false,false,false,true,false,false,false,false,2024-03-04,2024-10-09,false,false
13,Liens,https://landrais.e-monsite.com/liens/,https://cdc-aunissud.urbanisme17.fr/gnaucdcaunissud/#/,Guichet numérique des autorisations d'urbanisme,8,70,false,false,false,true,false,false,false,false,2024-04-09,2024-09-13,false,false
11,Déclaration de vos travaux,https://app.panneaupocket.com/ville/1055976543-neuvicq-le-chateau-17490?panneau=1703772673,https://www.urbanisme17.fr/gnaucdcvalsdesaintonge/#/,https://www.urbanisme17.fr/gnaucdcvalsdesaintonge/#/,14,42,false,false,false,true,false,false,false,false,2024-08-18,2024-10-01,false,false
10,URBANISME - PLUi-H - Ferrières,https://www.intramuros.org/ferrieres/page/urbanisme_plui-h,https://cdc-aunisatlantique.urbanisme17.fr/gnaucdcaunisatlantique/#/,,37,19,false,false,false,false,false,false,true,false,2024-03-05,2024-10-07,false,false
9,Urbanisme - Mairie de Sainte Marie de Ré,https://sainte-marie-de-re.fr/vie-quotidienne/urbanisme/,https://cdc-iledere.urbanisme17.fr/gnaucdciledere,Guichet numérique des autorisations d'urbanisme,28,126,false,false,false,true,false,false,false,false,2024-02-13,2024-08-23,false,false
8,Déposer mon dossier d'urbanisme en ligne,http://www.mairie-etaules.fr/vie-municipale/urbanisme/deposer-mon-dossier-d-urbanisme-en-ligne/,http://www.urbanisme17.fr/gnauetaules/#/,Déposer mon dossier d'urbanisme en ligne,5,117,false,false,false,true,false,false,false,false,2024-03-21,2024-09-29,false,false
8,Vos démarches | Mairie de Rivedoux Plage,http://www.rivedoux-plage.fr/vivre-a-rivedoux/nos-services/urbanisme/vos-demarches,https://cdc-iledere.urbanisme17.fr/gnaucdciledere,Demande en ligne,25,38,false,false,false,true,false,false,false,false,2024-05-13,2024-09-30,false,false
8,GNAU - Guichet Numérique des Autorisations d'Urbanisme - Mairie de La Flotte,https://www.laflotte.fr/gnau-guichet-numerique-des-autorisations-durbanisme/,https://cdc-iledere.urbanisme17.fr/gnaucdciledere/#/,Guichet Numérique des Autorisations d’Urbanisme,5,74,false,false,false,true,false,false,false,false,2024-03-27,2024-09-16,false,false
7,Démarches d'urbanisme | Mairie Aigrefeuille,http://www.mairie-aigrefeuille.fr/actualites/demarches-durbanisme,https://cdc-aunissud.urbanisme17.fr/gnaucdcaunissud/#/,GUICHET NUMERIQUE en un CLIC,3,105,false,false,false,true,false,false,false,false,2024-03-02,2024-09-12,false,false
7,Dématérialisation Urbanisme | Ville de Marans,http://www.ville-marans.fr/actualites/dematerialisation-urbanisme,https://cdc-aunisatlantique.urbanisme17.fr/gnaucdcaunisatlantique/#/,Accueil | Guichet Numérique des Autorisations d'Urbanisme (urbanisme17.fr),10,111,false,false,false,true,false,false,false,false,2024-03-10,2024-09-15,false,false
7,Je dépose ma demande d’autorisation d’urbanisme – CdC Île de Ré,https://cdciledere.fr/je-depose-ma-demande-dautorisation-durbanisme/,https://cdc-iledere.urbanisme17.fr/gnaucdciledere/#/,Guichet numérique des autorisations d’urbanisme,19,43,false,false,false,true,false,false,false,false,2024-03-15,2024-09-24,false,false
7,URBANISME – Mairie Saint-Clément-des-Baleines,https://saintclementdesbaleines.fr/01-urbanisme/,https://cdc-iledere.urbanisme17.fr/gnaucdciledere/#/,guichet numérique des autorisations d’urbanisme,19,90,false,false,false,true,false,false,false,false,2024-03-11,2024-09-27,false,false
6,Urbanisme | Mairie des Portes en Ré,http://lesportesenre.fr/demarches-administratives/urbanisme/,https://cdc-iledere.urbanisme17.fr/gnaucdciledere,https://cdc-iledere.urbanisme17.fr/gnaucdciledere,33,139,false,false,false,true,false,false,false,false,2024-02-13,2024-09-10,false,false
6,Mes démarches en ligne - Les Mathes | La Palmyre,https://mairie-lesmatheslapalmyre.com/au-quotidien/mes-demarches/,https://www.urbanisme17.fr/gnaulesmathes/#/,Déposer une demande d’urbanisme dématérialisée,13,82,false,false,false,true,false,false,false,false,2024-02-05,2024-10-10,false,false
6,Dépôt en ligne - Communauté de communes de l'Ile d'Oléron,https://www.cdc-oleron.com/vivre-et-habiter/urbanisme/depot-en-ligne/,https://pmo.urbanisme17.fr/gnaucdcileoleron/#/,Dépôt en ligne,21,154,false,false,false,false,false,false,true,false,2024-02-22,2024-08-07,false,false
6,Demande en ligne des autorisations d'urbanisme - Site officiel de la ville de Saint-Pierre d'Oléron,https://www.saintpierreoleron.com/urbanisme-travaux/demande-en-ligne-des-autorisations-durbanisme/,https://stpierreoleron.urbanisme17.fr/gnau/#/,,10,85,false,false,false,false,false,false,true,false,2024-02-23,2024-09-30,false,false
6,Informations pratiques sur l'urbanisme - Ville de Surgères,https://www.ville-surgeres.fr/pratique/urbanisme,https://cdc-aunissud.urbanisme17.fr/gnaucdcaunissud/#/,Guichet Numérique des Autorisations d’Urbanisme,9,118,false,false,false,true,false,false,false,false,2022-12-17,2024-04-30,false,true
5,Dématérialisation des demandes,http://www.mairie-le-thou.fr/pages/patrimoine-et-urbanisme/dematerialisation-des-demandes.html,https://cdc-aunissud.urbanisme17.fr/gnaucdcaunissud/#/,"guichet numérique des autorisations d’urbanisme, le GNAU",6,99,false,false,false,true,false,false,false,false,2024-03-07,2024-10-04,false,false
5,Démarches en ligne - Le Gua,https://www.le-gua.com/urbanisme-et-environnement/demarches-en-ligne/,https://pmo.urbanisme17.fr/cdcbassinmarennes/gnau,https://pmo.urbanisme17.fr/cdcbassinmarennes/gnau,1,86,false,false,false,true,false,false,false,false,2024-05-03,2024-10-10,false,false
5,GUICHET NUMÉRIQUE DES AUTORISATIONS D’URBANISME – Mairie Le Château d'Oléron,https://www.lechateaudoleron.fr/non-classe/guichet-numerique-des-autorisations-durbanisme/,https://pmo.urbanisme17.fr/gnauchateauoleron/#/,,7,104,false,false,false,false,false,false,true,false,2024-02-05,2024-10-09,false,false
5,Le parcours de votre demande de permis de construire - Marennes-Hiers-Brouage,https://www.marenneshiersbrouage.fr/vos-demarches-en-un-clic/urbanisme/le-parcours-de-votre-demande-de-permis-de-construire/,https://pmo.urbanisme17.fr/cdcbassinmarennes/gnau/,le lien suivant.,13,168,false,false,false,true,false,false,false,false,2023-01-06,2024-09-30,false,false
4,Urbanisme - Ville de Saint-Trojan-les-Bains,https://saint-trojan-les-bains.fr/votre-mairie/les-services-municipaux/urbanisme,https://pmo.urbanisme17.fr/gnaucdcileoleron/#/,GNAU - Cliquez ici,3,44,false,false,false,true,false,false,false,false,2024-08-07,2024-09-28,false,false
4,batiment – Loix,https://site50.soluris.fr/type_annuaire/batiment/,https://cdc-iledere.urbanisme17.fr/gnaucdciledere/#/,,78,5,false,false,false,true,false,false,false,true,2024-03-18,2024-08-31,false,false
4,Urbanisme - Mairie de Villedoux,https://villedoux.fr/vie-municipale/urbanisme,https://cdc-aunisatlantique.urbanisme17.fr/gnaucdcaunisatlantique/#/,https://cdc-aunisatlantique.urbanisme17.fr/gnaucdcaunisatlantique/#/,12,54,false,false,false,true,false,false,false,false,2024-03-17,2024-09-28,false,false
4,Urbanisme – Mairie d'Andilly les marais,https://www.andillylesmarais.fr/notice-category/urbanisme/,https://cdc-aunisatlantique.urbanisme17.fr/gnaucdcaunisatlantique/#/,https://cdc-aunisatlantique.urbanisme17.fr/gnaucdcaunisatlantique/#/,9,81,false,false,false,true,false,false,false,false,2024-02-16,2024-10-06,false,false
4,Urbanisme – La Brée les Bains,https://www.labreelesbains.com/mes-demarches/urbanisme/,https://pmo.urbanisme17.fr/gnaucdcileoleron/#/,le site de la Communauté de Communes de l’île d’Oléron,5,61,false,false,false,true,false,false,false,false,2024-03-26,2024-09-29,false,false
4,Dépôts en ligne | site-web-mairie,https://www.st-denis-oleron.com/about-3,https://pmo.urbanisme17.fr/gnaucdcileoleron/#/,,13,49,false,false,false,false,false,false,true,false,2024-04-01,2024-07-02,false,false
3,Plan de prévention des risques | Site officiel de la Mairie de Charron,https://charron17.fr/urbanisme/plan-de-prevention-des-risques/,https://cdc-aunisatlantique.urbanisme17.fr/gnaucdcaunisatlantique/#/,Guichet Numérique des Autorisations d’Urbanisme,5,43,false,false,false,true,false,false,false,false,2024-03-06,2024-09-23,false,false
3,DÉMATÉRIALISATION DES AUTORISATIONS D’URBANISME – Mairie de Benon,https://www.benon.fr/4207-2/,https://cdc-aunisatlantique.urbanisme17.fr/gnaucdcaunisatlantique/#/,Guichet unique des autorisations d’urbanisme,2,56,false,false,false,true,false,false,false,false,2024-03-04,2024-09-28,false,false
3,Démarches en ligne – Mairie de Ballon,https://www.mairie-ballon.fr/demarches/https-www-service-public-fr-particuliers-vosdroits-n319/https-www-service-public-fr-particuliers-vosdroits-n319/,https://cdc-aunissud.urbanisme17.fr/gnaucdcaunissud/#,Pour faire votre déclaration d’urbanisme en ligne CLIQUER ICI,61,60,false,false,false,true,false,false,false,false,2024-04-30,2024-09-22,false,false
