Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
69,Accueil - CC Sud Messin,https://www.sudmessin.fr/servir-les-habitants/l-accueil-periscolaire/cheminot.html,https://sudmessin.geosphere.fr/guichet-unique,Dépôt en ligne des demandes d’urbanismes,6,82,false,false,false,true,false,false,false,false,2025-04-18,2025-04-18,false,false
68,Site officiel de Denée,http://www.mairie-denee.fr/,https://loirelayonaubance.geosphere.fr/portailccs/Login/Particulier,location_city Guichet Unique - Urbanisme,8,54,false,false,false,true,false,false,false,false,2025-07-08,2025-07-31,true,false
68,Coeur de Flandre Agglo - Site Officiel,https://cc-flandreinterieure.fr/fr/,https://flandreinterieure.geosphere.fr/guichet-unique,Guichet Unique - Urbanisme info,10,100,false,false,false,true,false,false,false,false,2024-02-09,2025-02-03,false,true
68,Page d'accueil | Cœur de Flandre Agglo,https://www.ca-coeurdeflandre.fr/,https://flandreinterieure.geosphere.fr/guichet-unique/Login/Particulier,Guichet de l'urbanisme,6,138,false,false,false,true,false,false,false,false,2025-01-11,2025-08-04,false,false
66,Accueil - Demandes d'urbanisme en ligne,https://urbanisme-sudmessin.com/,https://sudmessin.geosphere.fr/guichet-unique,Aller sur la plateforme,3,10,false,false,false,true,false,false,false,false,2024-11-30,2025-07-18,false,false
66,Coeur de l'Avesnois,https://www.coeur-avesnois.fr/,https://coeur-avesnois.geosphere.fr/guichet-unique/Login/Particulier,Guichet Unique des Autorisations d'Urbanisme,17,104,false,false,false,true,false,false,false,true,2025-04-01,2025-08-03,false,false
64,Accueil - Communauté de Communes Centre Tarn,http://www.centretarn.fr/,https://centretarn.geosphere.fr/guichet-unique/Login/Particulier,Autorisations d’urbanisme – Guichet Unique,10,70,false,false,false,true,false,false,false,true,2024-07-05,2025-07-30,false,false
64,Lambres-lez-Douai | Une ville à la campagne,https://www.lambreslezdouai.fr/,https://ca-douaisis.geosphere.fr/guichet-unique,Déposer une autorisation d'urbanisme,10,124,false,false,false,true,false,false,false,false,2024-12-03,2025-07-23,false,false
64,Accueil - Ville de Mandres les Roses,https://www.mandreslesroses.fr/,https://guichetunique.geosphere.fr/mandres-les-roses,Portail Urbanisme,19,213,false,false,false,true,false,false,false,true,2024-12-03,2025-08-04,false,false
64,Accueil - Ville de Mandres les Roses,https://www.mandreslesroses.fr/,https://guichetunique.geosphere.fr/mandres-les-roses,,19,213,false,false,false,true,false,false,false,true,2024-12-03,2025-08-04,false,false
63,Site officiel de la Communauté de Communes Provence Verdon - Accueil,http://www.provenceverdon.fr/,https://provence-verdon.geosphere.fr/guichet-urba,logo Portail Permis de construire en ligne,13,117,false,false,false,false,false,false,true,false,2025-02-21,2025-04-02,false,true
63,Site officiel de la Mairie d'Auriol - Accueil du site officiel de la ville d'Auriol,https://mairie-auriol.fr/,https://mamp.geosphere.fr/guichet-unique/Login/Particulier,Dépôt de la demande,15,136,false,false,false,true,false,false,false,false,2025-06-09,2025-06-26,false,true
63,"Bulletin Municipal de la ville de Nontron, Août 2023",https://www.nontron.fr/la-mairie/publications/18-bulletin-municipal-de-la-ville-de-nontron-aout-2023,https://atd24.geosphere.fr/guichet-unique/Login/Particulier,saisine et dépôt des dossiers,20,108,false,false,false,true,false,false,false,false,2025-01-26,2025-02-13,false,true
63,Site officiel de la commune de Sèvremoine,https://www.sevremoine.fr/,https://maugescommunaute.geosphere.fr/portailccs/Login/Particulier,Accéder au guichet unique des autorisations d'urbanisme,8,210,false,false,false,true,false,false,false,true,2025-01-30,2025-08-04,false,false
63,Accueil - CC Sud Messin,https://www.sudmessin.fr/,https://sudmessin.geosphere.fr/guichet-unique,Dépôt en ligne des demandes d’urbanismes,6,82,false,false,false,true,false,false,false,false,2025-04-18,2025-07-30,false,false
63,Accueil - CC Sud Messin,https://www.sudmessin.fr/developper-le-territoire/la-mobilite/covoiturage-klaksit-by-blablacar.html,https://sudmessin.geosphere.fr/guichet-unique,Dépôt en ligne des demandes d’urbanismes,6,82,false,false,false,true,false,false,false,false,2025-04-15,2025-04-15,false,false
62,Accueil - Mairie de Pont-Saint-Martin,https://www.mairie-pontsaintmartin.fr/,https://grandlieu.geosphere.fr/portailccs/Login/Particulier,Dépôt dossier d'urbanisme,27,103,true,false,false,true,false,false,false,false,2025-06-16,2025-06-16,false,false
60,Démarches administratives | Ville de Montrond les Bains,https://www.montrond-les-bains.fr/demarches-administrative/,https://loireforez.geosphere.fr/guichet-unique/Login/DossierProjet,– Accès au Guichet Unique Urbanisme,10,121,false,false,false,true,false,false,false,false,2025-01-16,2025-08-04,false,false
60,Accueil - Site officiel de la commune de Montval-sur-Loir,https://www.montvalsurloir.fr/,https://pays-flechois.geosphere.fr/guichet-unique/Login/Particulier,Icône Démarches d'urbanisme en ligne,21,146,false,false,false,false,false,false,true,false,2024-12-23,2025-07-24,false,false
60,Site officiel de la ville de Portivechju - Accueil,https://www.portivechju.corsica/,https://portovecchio.geosphere.fr/guichet-unique/Login/Particulier,Accès direct de Accueil Guichet unique urbanisme,20,156,false,false,false,false,false,false,true,false,2024-11-27,2025-07-04,false,true
60,Site officiel de la ville de Portivechju - Accueil,https://www.portivechju.corsica/,https://portovecchio.geosphere.fr/guichet-unique/Login/Particulier,Accès direct de Accueil Accès direct de Accueil Guichet unique urbanisme,19,156,false,false,false,false,false,false,true,false,2023-05-16,2025-08-03,false,false
57,Page d'accueil | La terre des 2 caps,https://terredes2caps.fr/,https://cc-2caps.geosphere.fr/guichet-unique,Autorisation des sols,12,101,false,false,false,true,false,false,false,false,2025-01-14,2025-08-03,false,false
57,Accueil - La Forêt-Fouesnant,https://www.foret-fouesnant.bzh/,https://pays-fouesnantais.geosphere.fr/portailccs/Login/Particulier,Guichet unique urbanisme,14,38,false,false,false,true,false,false,false,false,2025-01-02,2025-08-02,false,false
57,Accueil - La Forêt-Fouesnant,https://www.foret-fouesnant.bzh/,https://pays-fouesnantais.geosphere.fr/portailccs/Login/Particulier,picto_guichet,14,38,false,false,false,false,false,false,true,false,2025-01-02,2025-08-02,false,false
56,Accueil - Site officiel de la Mairie de Six-Fours Les Plages,https://www.ville-six-fours.fr/,https://sixfours.geosphere.fr/guichet-unique/Login/Particulier,Guichet Unique Urbanisme,27,119,false,false,false,true,false,false,false,false,2024-12-23,2025-03-10,false,false
55,Bongheat,http://www.bongheat.fr/,https://grandclermont.geosphere.fr/guichet-unique/Login/Particulier,demandes d'urbanisme en ligne,11,136,false,false,false,true,false,false,false,false,2025-03-05,2025-04-04,false,true
55,Faulquemont - Site officiel de la commune,https://ville-faulquemont.fr/fr/,https://dufcc.geosphere.fr/portailccs,Déposer sa demande d'autorisation d'urbanisme en ligne,8,64,false,false,false,true,false,false,false,false,2022-01-19,2025-07-18,false,false
55,Vallée Dorée - Communauté de communes du Liancourtois,https://www.ccl-valleedoree.fr/,https://liancourtois.geosphere.fr/guichet-unique/Login/Particulier,Guichet urbanisme,20,120,false,false,false,true,false,false,false,false,2024-12-28,2025-08-01,false,false
55,CAGV | Demande de travaux,https://www.grand-villeneuvois.fr/demande-de-travaux-133.html,https://gd-villeneuvois.geosphere.fr/guichet-unique,https://gd-villeneuvois.geosphere.fr/guichet-unique,6,153,false,false,false,true,false,false,false,false,2024-12-22,2025-07-30,false,false
55,L’Herbergement – Site officiel de la commune | Vendée,https://www.lherbergement.fr/,https://terresdemontaigu.geosphere.fr/guichet-unique/Login/Particulier,Déposer une demande d'urbanisme,11,113,false,false,false,true,false,false,false,false,2025-07-14,2025-08-04,true,false
55,L’Herbergement – Site officiel de la commune | Vendée,https://www.lherbergement.fr/,https://terresdemontaigu.geosphere.fr/guichet-unique/Login/Particulier,Démarches d'urbanisme,11,113,false,false,false,true,false,false,false,false,2025-03-30,2025-08-04,false,false
55,SIEVO - Syndicat Intercommunal des Eaux du Val de l'Ognon,https://www.sievo.fr/,https://valdelognon.geosphere.fr/portail/,accéder à mon compte,11,50,false,false,false,true,false,false,false,true,2024-12-12,2025-08-02,false,false
55,SIEVO - Syndicat Intercommunal des Eaux du Val de l'Ognon,https://www.sievo.fr/,https://valdelognon.geosphere.fr/portail/,Mon compte,11,50,false,false,false,true,false,false,false,true,2024-12-12,2025-08-02,false,false
55,Accueil - CC Sud Messin,https://www.sudmessin.fr/news/315/45/Boucles-de-randonnee.html,https://sudmessin.geosphere.fr/guichet-unique,Dépôt en ligne des demandes d’urbanismes,6,82,false,false,false,true,false,false,false,false,2025-04-18,2025-04-18,false,false
55,Page d'accueil | Cœur de Flandre Agglo,https://www.ville-bailleul.fr/,https://flandreinterieure.geosphere.fr/guichet-unique/Login/Particulier,Guichet de l'urbanisme,7,133,false,false,false,true,false,false,false,false,2025-01-29,2025-02-02,false,true
53,Commune de Rétaud - Accueil,http://www.retaud.fr/,https://cc-gemozac-saintonge.geosphere.fr/guichet-unique/Login/Particulier,2023 Guichet unique,11,60,false,false,false,false,false,false,true,false,2025-01-02,2025-08-03,false,false
53,Communauté de communes de Gémozac,https://cdc-gemozac.fr/,https://cc-gemozac-saintonge.geosphere.fr/guichet-unique/,Autorisation d'urbanisme,2,93,false,false,false,true,false,false,false,false,2025-01-06,2025-08-04,false,false
53,Communauté de communes de Gémozac,https://cdc-gemozac.fr/,https://cc-gemozac-saintonge.geosphere.fr/guichet-unique/,,2,93,false,false,false,false,false,false,true,false,2025-01-06,2025-08-04,false,false
53,Commune de Cruzy - Cruzy - Site officiel,https://commune-cruzy.fr/,https://sudherault.geosphere.fr/guichet-unique/Login/Particulier,Guichet numérique des autorisations d’urbanisme (GNAU) Vous pouvez créer votre espace et gérer vos demandes en ligne sur le site https://sudherault.geosphere.fr/guichet.../Login/Particulier Consulter,6,54,false,false,false,true,false,false,false,false,2024-12-26,2025-07-24,false,false
53,Commune de Cruzy - Cruzy - Site officiel,https://commune-cruzy.fr/,https://sudherault.geosphere.fr/guichet-unique/Login/AffichageReglementaire,"Depuis le 01/04/2025, les dépôts et décisions relatifs aux autorisations d'urbanisme sont consultables ici !",6,54,false,false,false,true,false,false,false,true,2025-05-13,2025-07-24,false,false
53,Commune de Cruzy - Cruzy - Site officiel,https://commune-cruzy.fr/,https://sudherault.geosphere.fr/guichet-unique/Login/AffichageReglementaire,Cliquez ici,6,54,false,false,false,true,false,false,false,true,2025-05-13,2025-07-24,false,false
53,Crépy-en-Valois,https://crepyenvalois.fr/,https://crepy-en-valois.geosphere.fr/guichet-unique/,Autorisations d'urbanisme,9,147,false,false,false,true,false,false,false,false,2025-01-04,2025-07-26,false,false
53,Mairie Ardres - Accueil,https://www.mairie-ardres.fr/,https://pays-opale.geosphere.fr/guichet-unique/Login/Particulier,,8,151,false,false,false,false,false,false,true,false,2024-12-31,2025-07-28,false,false
53,"Mairie de Noyers, site officiel, le Maire, les Elus, intercommunalités, EPCI",https://www.noyers.fr/informations-municipales-commune-mairie-noyers_fr.html,https://canauxforetsgatinais.geosphere.fr/portailccs,https://canauxforetsgatinais.geosphere.fr/portailccs,44,210,false,false,false,true,false,false,false,false,2024-06-06,2025-02-23,false,false
52,Accueil - Collias,http://www.mairie-collias.fr/,https://pontdugard.geosphere.fr/guichet-unique-pontdugard/Login/Particulier,ACCEDEZ AU GUICHET NUMERIQUE AUTORISATIONS D'URBANISME,10,54,false,false,false,true,false,false,false,false,2022-07-21,2025-06-20,false,false
52,Accueil - CC Sud Messin,https://www.sudmessin.fr/news/357/45/Appel-a-candidature.html,https://sudmessin.geosphere.fr/guichet-unique,Dépôt en ligne des demandes d’urbanismes,6,82,false,false,false,true,false,false,false,false,2025-04-16,2025-04-16,false,false
52,Commune de Varennes - Site officiel de la commune,https://www.varennes-dordogne.fr/,https://atd24.geosphere.fr/guichet-unique/Login/DossierProjet,Quel dossier pour mon projet,8,56,false,false,false,true,false,false,false,false,2025-03-30,2025-07-06,false,false
52,Commune de Varennes - Site officiel de la commune,https://www.varennes-dordogne.fr/,https://atd24.geosphere.fr/guichet-unique/Login/Particulier,Pour déposer une demande d’autorisation d’urbanisme,8,56,false,false,false,true,false,false,false,false,2025-03-30,2025-07-06,false,false
52,Commune de Varennes - Site officiel de la commune,https://www.varennes-dordogne.fr/,https://atd24.geosphere.fr/guichet-unique/Login/Particulier,lien,8,56,false,false,false,true,false,false,false,false,2025-07-17,2025-08-01,true,false
51,Mairie Ardres - Accueil,http://www.mairie-ardres.fr/,https://pays-opale.geosphere.fr/guichet-unique/Login/Particulier,,8,152,false,false,false,false,false,false,true,false,2024-12-24,2025-07-30,false,false
51,Communauté de communes Vallées de l'Orne et de l'Odon - Communauté de Communes Vallées de l'Orne et de l'Odon,https://cdc.vallees-orne-odon.fr/,https://simau.geosphere.fr/guichet-unique/Login/Particulier,déposer un acte d'urbanisme,21,140,false,false,false,true,false,false,false,false,2024-12-24,2025-07-25,false,false
51,Bongheat,https://www.bongheat.fr/,https://grandclermont.geosphere.fr/guichet-unique/Login/Particulier,demandes d'urbanisme en ligne,12,126,false,false,false,true,false,false,false,false,2024-12-06,2025-07-26,false,false
51,Accueil - Communauté de Communes du Pays fléchois,https://www.paysflechois.fr/,https://pays-flechois.geosphere.fr/guichet-unique/Login/Particulier,Portail urbanisme,20,105,false,false,false,true,false,false,false,false,2025-03-10,2025-07-26,false,false
51,Accueil - Communauté de Communes du Pays fléchois,https://www.paysflechois.fr/,https://pays-flechois.geosphere.fr/guichet-unique/Login/Particulier,Demandes d'urbanisme,20,105,false,false,false,true,false,false,false,false,2025-03-10,2025-07-26,false,false
51,Accueil - CC Sud Messin,https://www.sudmessin.fr/servir-les-habitants/l-accueil-periscolaire/remilly.html,https://sudmessin.geosphere.fr/guichet-unique,Dépôt en ligne des demandes d’urbanismes,6,82,false,false,false,true,false,false,false,false,2025-05-07,2025-05-07,false,false
51,Ville de Montreuil Bellay : site officiel de la commune,https://www.ville-montreuil-bellay.fr/,https://saumurvaldeloire.geosphere.fr/guichet-doue/Login/Particulier,Habitat : Permis de construire / rénovation / travaux,19,125,false,false,false,true,false,false,false,false,2024-10-11,2025-07-28,false,false
50,"Mairie – Site officiel de la commune de Les Mées – Site officiel de la commune de Les Mées (04190), dans les Alpes de Haute Provence",https://les-mees.fr/,https://dlva-paa.geosphere.fr/portailccs-paa/Login/Particulier,Je commence ma démarche,12,94,false,false,false,true,false,false,false,false,2024-10-13,2025-03-08,false,false
50,"Mairie – Site officiel de la commune de Les Mées – Site officiel de la commune de Les Mées (04190), dans les Alpes de Haute Provence",https://les-mees.fr/,https://dlva-paa.geosphere.fr/portailccs-paa/Login/Particulier,Démarche d'autorisation Urbanisme,12,94,false,false,false,true,false,false,false,false,2024-10-13,2025-03-08,false,false
50,Commune de LA ROCHEPOT | Commune de La Rochepot,https://mairiedelarochepot.fr/,https://beaunecoteetsud.geosphere.fr/guichet-unique,Urbanisme,9,38,false,false,false,true,false,false,false,true,2024-06-25,2025-02-04,false,true
50,Vos demandes d'urbanisme,https://www.legrandnarbonne.com/vivre-au-quotidien/se-loger-/-habiter/vos-demandes-durbanisme,https://grandnarbonne.geosphere.fr/guichet-unique-leucate,Leucate,46,134,false,false,false,true,false,false,false,false,2024-12-01,2025-07-26,false,false
50,Vos demandes d'urbanisme,https://www.legrandnarbonne.com/vivre-au-quotidien/se-loger-/-habiter/vos-demandes-durbanisme,https://grandnarbonne.geosphere.fr/guichet-unique,Salles-d'Aude,46,134,false,false,false,true,false,false,false,false,2024-12-01,2025-07-26,false,false
50,Vos demandes d'urbanisme,https://www.legrandnarbonne.com/vivre-au-quotidien/se-loger-/-habiter/vos-demandes-durbanisme,https://grandnarbonne.geosphere.fr/guichet-unique,Moussan,46,134,false,false,false,true,false,false,false,false,2024-12-01,2025-07-26,false,false
50,Vos demandes d'urbanisme,https://www.legrandnarbonne.com/vivre-au-quotidien/se-loger-/-habiter/vos-demandes-durbanisme,https://grandnarbonne.geosphere.fr/guichet-unique,Coursan,46,134,false,false,false,true,false,false,false,false,2024-12-01,2025-07-26,false,false
50,Vos demandes d'urbanisme,https://www.legrandnarbonne.com/vivre-au-quotidien/se-loger-/-habiter/vos-demandes-durbanisme,https://grandnarbonne.geosphere.fr/guichet-unique/Login/Particulier,Saint-Nazaire-d'Aude,46,134,false,false,false,true,false,false,false,false,2025-01-03,2025-07-26,false,false
50,Vos demandes d'urbanisme,https://www.legrandnarbonne.com/vivre-au-quotidien/se-loger-/-habiter/vos-demandes-durbanisme,https://grandnarbonne.geosphere.fr/guichet-unique/Login/Particulier,Sainte-Valière,46,134,false,false,false,true,false,false,false,false,2025-01-03,2025-07-26,false,false
50,Vos demandes d'urbanisme,https://www.legrandnarbonne.com/vivre-au-quotidien/se-loger-/-habiter/vos-demandes-durbanisme,https://grandnarbonne.geosphere.fr/guichet-unique/Login/Particulier,Cuxac-d'Aude,46,134,false,false,false,true,false,false,false,false,2025-01-03,2025-07-26,false,false
50,Vos demandes d'urbanisme,https://www.legrandnarbonne.com/vivre-au-quotidien/se-loger-/-habiter/vos-demandes-durbanisme,https://grandnarbonne.geosphere.fr/guichet-unique/Login/Particulier,Fleury d'Aude,46,134,false,false,false,true,false,false,false,false,2025-01-03,2025-07-26,false,false
50,Vos demandes d'urbanisme,https://www.legrandnarbonne.com/vivre-au-quotidien/se-loger-/-habiter/vos-demandes-durbanisme,https://grandnarbonne.geosphere.fr/guichet-unique/Login/Particulier,Ginestas,46,134,false,false,false,true,false,false,false,false,2025-01-03,2025-07-26,false,false
50,Vos demandes d'urbanisme,https://www.legrandnarbonne.com/vivre-au-quotidien/se-loger-/-habiter/vos-demandes-durbanisme,https://grandnarbonne.geosphere.fr/guichet-unique/Login/Particulier,Mailhac,46,134,false,false,false,true,false,false,false,false,2025-01-03,2025-07-26,false,false
50,Vos demandes d'urbanisme,https://www.legrandnarbonne.com/vivre-au-quotidien/se-loger-/-habiter/vos-demandes-durbanisme,https://grandnarbonne.geosphere.fr/guichet-unique/Login/Particulier,Bize-Minervois,46,134,false,false,false,true,false,false,false,false,2025-01-03,2025-07-26,false,false
50,Vos demandes d'urbanisme,https://www.legrandnarbonne.com/vivre-au-quotidien/se-loger-/-habiter/vos-demandes-durbanisme,https://grandnarbonne.geosphere.fr/guichet-unique/Login/Particulier,Raissac-d'Aude,46,134,false,false,false,true,false,false,false,false,2025-01-03,2025-07-26,false,false
50,Vos demandes d'urbanisme,https://www.legrandnarbonne.com/vivre-au-quotidien/se-loger-/-habiter/vos-demandes-durbanisme,https://grandnarbonne.geosphere.fr/guichet-unique/Login/Particulier,Mirepeïsset,46,134,false,false,false,true,false,false,false,false,2025-01-03,2025-07-26,false,false
50,Vos demandes d'urbanisme,https://www.legrandnarbonne.com/vivre-au-quotidien/se-loger-/-habiter/vos-demandes-durbanisme,https://grandnarbonne.geosphere.fr/guichet-unique/Login/Particulier,Montredon-des-Corbières,46,134,false,false,false,true,false,false,false,false,2025-01-03,2025-07-26,false,false
50,Vos demandes d'urbanisme,https://www.legrandnarbonne.com/vivre-au-quotidien/se-loger-/-habiter/vos-demandes-durbanisme,https://grandnarbonne.geosphere.fr/guichet-unique/Login/Particulier,Névian,46,134,false,false,false,true,false,false,false,false,2025-01-03,2025-07-26,false,false
50,Vos demandes d'urbanisme,https://www.legrandnarbonne.com/vivre-au-quotidien/se-loger-/-habiter/vos-demandes-durbanisme,https://grandnarbonne.geosphere.fr/guichet-unique/Login/Particulier,Ouveillan,46,134,false,false,false,true,false,false,false,false,2025-01-03,2025-07-26,false,false
50,Vos demandes d'urbanisme,https://www.legrandnarbonne.com/vivre-au-quotidien/se-loger-/-habiter/vos-demandes-durbanisme,https://grandnarbonne.geosphere.fr/guichet-unique/Login/Particulier,Bizanet,46,134,false,false,false,true,false,false,false,false,2025-01-03,2025-07-26,false,false
50,Vos demandes d'urbanisme,https://www.legrandnarbonne.com/vivre-au-quotidien/se-loger-/-habiter/vos-demandes-durbanisme,https://grandnarbonne.geosphere.fr/guichet-unique/Login/Particulier,Bages,46,134,false,false,false,true,false,false,false,false,2025-01-03,2025-07-26,false,false
50,Vos demandes d'urbanisme,https://www.legrandnarbonne.com/vivre-au-quotidien/se-loger-/-habiter/vos-demandes-durbanisme,https://grandnarbonne.geosphere.fr/guichet-unique/Login/Particulier,Peyriac-de-Mer,46,134,false,false,false,true,false,false,false,false,2025-01-03,2025-07-26,false,false
50,Vos demandes d'urbanisme,https://www.legrandnarbonne.com/vivre-au-quotidien/se-loger-/-habiter/vos-demandes-durbanisme,https://grandnarbonne.geosphere.fr/guichet-unique/Login/Particulier,Armissan,46,134,false,false,false,true,false,false,false,false,2025-01-03,2025-07-26,false,false
50,Vos demandes d'urbanisme,https://www.legrandnarbonne.com/vivre-au-quotidien/se-loger-/-habiter/vos-demandes-durbanisme,https://grandnarbonne.geosphere.fr/guichet-unique/Login/Particulier,Argeliers,46,134,false,false,false,true,false,false,false,false,2025-01-03,2025-07-26,false,false
50,Vos demandes d'urbanisme,https://www.legrandnarbonne.com/vivre-au-quotidien/se-loger-/-habiter/vos-demandes-durbanisme,https://grandnarbonne.geosphere.fr/guichet-unique/Login/Particulier,Portel-des-Corbières,46,134,false,false,false,true,false,false,false,false,2025-01-03,2025-07-26,false,false
50,Vos demandes d'urbanisme,https://www.legrandnarbonne.com/vivre-au-quotidien/se-loger-/-habiter/vos-demandes-durbanisme,https://grandnarbonne.geosphere.fr/guichet-unique/Login/Particulier,Pouzols-Minervois,46,134,false,false,false,true,false,false,false,false,2025-01-03,2025-07-26,false,false
50,Vos demandes d'urbanisme,https://www.legrandnarbonne.com/vivre-au-quotidien/se-loger-/-habiter/vos-demandes-durbanisme,https://grandnarbonne.geosphere.fr/guichet-unique/Login/Particulier,Caves,46,134,false,false,false,true,false,false,false,false,2025-01-03,2025-07-26,false,false
50,Vos demandes d'urbanisme,https://www.legrandnarbonne.com/vivre-au-quotidien/se-loger-/-habiter/vos-demandes-durbanisme,https://grandnarbonne.geosphere.fr/guichet-unique/Login/Particulier,Saint-Marcel-sur-Aude,46,134,false,false,false,true,false,false,false,false,2025-01-03,2025-07-26,false,false
50,Vos demandes d'urbanisme,https://www.legrandnarbonne.com/vivre-au-quotidien/se-loger-/-habiter/vos-demandes-durbanisme,https://grandnarbonne.geosphere.fr/guichet-unique/Login/Particulier,Vinassan,46,134,false,false,false,true,false,false,false,false,2025-01-03,2025-07-26,false,false
50,Vos demandes d'urbanisme,https://www.legrandnarbonne.com/vivre-au-quotidien/se-loger-/-habiter/vos-demandes-durbanisme,https://grandnarbonne.geosphere.fr/guichet-unique/Login/Particulier,Sigean,46,134,false,false,false,true,false,false,false,false,2025-01-03,2025-07-26,false,false
50,Vos demandes d'urbanisme,https://www.legrandnarbonne.com/vivre-au-quotidien/se-loger-/-habiter/vos-demandes-durbanisme,https://grandnarbonne.geosphere.fr/guichet-unique/Login/Particulier,Treilles,46,134,false,false,false,true,false,false,false,false,2025-01-03,2025-07-26,false,false
50,Vos demandes d'urbanisme,https://www.legrandnarbonne.com/vivre-au-quotidien/se-loger-/-habiter/vos-demandes-durbanisme,https://grandnarbonne.geosphere.fr/guichet-unique/Login/Particulier,Ventenac-en-Minervois,46,134,false,false,false,true,false,false,false,false,2025-01-03,2025-07-26,false,false
50,Vos demandes d'urbanisme,https://www.legrandnarbonne.com/vivre-au-quotidien/se-loger-/-habiter/vos-demandes-durbanisme,https://grandnarbonne.geosphere.fr/guichet-unique/Login/Particulier,Villedaigne,46,134,false,false,false,true,false,false,false,false,2025-01-03,2025-07-26,false,false
50,Vos demandes d'urbanisme,https://www.legrandnarbonne.com/vivre-au-quotidien/se-loger-/-habiter/vos-demandes-durbanisme,https://grandnarbonne.geosphere.fr/guichet-unique/Login/Particulier,Marcorignan,46,134,false,false,false,true,false,false,false,false,2025-01-03,2025-07-26,false,false
50,Vos demandes d'urbanisme,https://www.legrandnarbonne.com/vivre-au-quotidien/se-loger-/-habiter/vos-demandes-durbanisme,https://grandnarbonne.geosphere.fr/guichet-unique-narbonne,Narbonne,46,134,false,false,false,true,false,false,false,false,2024-10-18,2025-07-26,false,false
