epci_code,EPCI,admin_website_url
243300316,Bordeaux Métropole,https://urbanisme.bordeaux-metropole.fr/guichet/Login/Particulier
242900314,Brest Métropole,https://urbanisme.brest-metropole.fr/guichet/Login/Particulier
200066918,CA Alès Agglomération,http://cartads.alesagglo.fr/guichet-unique
248000531,CA Amiens Métropole,https://urbanisme.amiens-metropole.com/gnau/?ref=
200011773,CA Annemasse-les Voirons-Agglomération,https://urbanisme.annemasse-agglo.fr/
200072015,CA Annonay Rhône Agglo,https://gu-ara.numerian.fr/guichet-unique/Login/Particulier
200073096,CA Arche Agglo,https://sve.sirap.fr/#/communesList
200041630,CA Ardenne Métropole,https://gnau12.operis.fr/ardennemetropole/gnau/
200068997,CA Arlysère,https://sve.sirap.fr/#/communesList
243300563,CA Bassin d'Arcachon Sud-Pôle Atlantique (Cobas),https://gnau7.operis.fr/arcachon/gnau/#/
200006682,"CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay",https://beaunecoteetsud.geosphere.fr/guichet-unique/Login/Particulier
200070647,CA Bergeracoise,https://atd24.geosphere.fr/guichet-unique/Login/Particulier
241800507,CA Bourges Plus,https://ads.bourgesplus.fr/guichet/Login/Particulier
200039915,CA Cannes Pays de Lérins,https://gnau-cannes.operis.fr/
200018653,CA Cap Excellence,https://urbanisme.cap-atlantique.fr/guichet-unique/Login/Particulier
200035715,CA Carcassonne Agglo,https://portail-ads.carcassonne-agglo.fr/guichet-unique/Login/Particulier
200010700,CA Caux Seine Agglo,https://gnau14.operis.fr/cauxseine/gnau/#/
200033181,CA Chartres Métropole,https://www.e-permis.fr/#/connexion
243600327,CA Châteauroux Métropole,https://connexion.chateauroux-metropole.fr/login/?nonce=_C8666F38C17425447F61604E0B45819B&next=/idp/saml2/continue%3Fnonce%3D_C8666F38C17425447F61604E0B45819B
200071785,CA Chauny Tergnier la Fère,https://sve.sirap.fr/
249740077,CA Civis (Communauté Intercommunale des Villes Solidaires),
200067635,CA Clisson Sèvre et Maine Agglo,https://sig.clissonsevremaine.fr/guichet-unique/Login/Particulier
200057859,CA Coeur d'Essonne Agglomération,https://gnau38.operis.fr/coeuressonne/gnau/
246800726,CA Colmar Agglomération,https://ca-colmar.geosphere.fr/guichet-unique/Login/Particulier
200056232,CA Communauté Paris-Saclay,https://gnau13.operis.fr/parissaclay/gnau/#/
242900769,CA Concarneau Cornouaille Agglomération,https://gnau.cca.bzh/gnau/#/
200090504,CA Coulommiers Pays de Brie,https://cacpb.geosphere.fr/guichet-unique/Login/Particulier
200068047,CA Creil Sud Oise,https://gnau.creil.fr/gnau/#/
200096956,CA d'Agen,https://gnau6.operis.fr/agen/gnau/
241300417,CA d'Arles-Crau-Camargue-Montagnette,https://gnau14.operis.fr/accm/gnau/
200068757,CA d'Épinal,https://www.geopermis.fr/
246200299,CA d'Hénin-Carvin,https://agglo-henincarvin-grc.e-citiz.com
200033025,CA de Bar-le-Duc - Sud Meuse,https://gnau31.operis.fr/barleduc/gnau/#/
242000354,CA de Bastia,https://urbanisme.bastia.corsica/NetADS/sve/connexion
200072460,"CA de Béthune-Bruay, Artois-Lys Romane",https://urbanisme.bethunebruay.fr/guichet-unique/Login/Particulier
243400769,CA de Béziers-Méditerranée,https://gnau.beziers-mediterranee.fr/gnau/
200030385,CA de Blois Agglopolys,https://demande-urbanisme.agglopolys.fr/
200068500,CA de Cambrai,https://sve.sirap.fr/#/059122/connexion
248100430,CA de Castres Mazamet,https://ads.ville-mazamet.com/NetADS/sve/MAZAME81163/
249500109,CA de Cergy-Pontoise,https://demarches-urbanisme.cergypontoise.fr
249500109,CA de Cergy-Pontoise,https://demarches-urbanisme.cergypontoise.fr
200066876,CA de Châlons-en-Champagne,https://gnau.chalons-agglo.fr/gnau/#/
200068658,"CA de Chaumont, du Bassin Nogentais et du Bassin de Bologne Vignory Froncles",https://sve.sirap.fr/
200060457,CA de Dembeni / Mamoudzou,
245700372,CA de Forbach Porte de France,https://sve-rosselle.sirap.fr
200067874,CA de Haguenau,https://cadehaguenau.geosphere.fr/adscs/Login?ReturnUrl=%2Fadscs%2F
248100737,CA de l'Albigeois (C2a),https://gnau.ic2a.net
200067114,CA de l'Auxerrois,https://gnau.auxerre.fr/auxerrois/gnau/?ref=89024#/
249720053,CA de l'Espace Sud de la Martinique,
200040566,CA de l'Ouest Rhodanien,https://gnau35.operis.fr/ouestrhodanien/gnau/#/
200070993,CA de la Baie de Somme,https://gnau40.operis.fr/crotoy/gnau/#/
200042190,CA de la Porte du Hainaut,https://gnau2.operis.fr/guichetnumeriqueurbanisme/
244400610,CA de la Presqu'île de Guérande Atlantique (Cap Atlantique),https://urbanisme.cap-atlantique.fr/guichet-unique/Login/Particulier
200068104,CA de la Provence Verte,https://guichetunique.geosphere.fr/provence-verte/Login/Particulier
200072031,CA de la Région de Château-Thierry,
200067965,CA de la Région de Compiègne et de la Basse Automne,
247600786,CA de la Région Dieppoise,
244400644,CA de la Région Nazairienne et de l'Estuaire (Carene),https://urbanisme.saintnazaireagglo.fr/guichet-unique/
240600551,CA de la Riviera Française,https://gnau10.operis.fr/rivierafrancaise/gnau/#/
241700434,CA de la Rochelle,https://www.agglo-larochelle.fr/-/mes-demarches-d-urbanisme-en-ligne-des-le-1er-janvier
246200364,CA de Lens - Liévin,https://villedelens.fr/mes-services/urbanisme/guichet-num%C3%A9rique-des-autorisations-durbanisme/
245400262,CA de Longwy,https://demarches.service-public.fr/mademarche/DAUA/demarche
245804406,CA de Nevers,
243000643,CA de Nîmes Métropole,gnau.nimes.fr
200071066,CA de Saint-Dié-Des-Vosges,non trouvé
200068666,CA de Saint-Dizier Der et Blaise,https://sig.saint-dizier.fr
200058782,CA de Saint-Quentin-en-Yvelines,https://gnau.sqy.fr
200036473,CA de Saintes,https://ca-saintes.geosphere.fr/guichet-unique/Login/Particulier
240600585,CA de Sophia Antipolis,https://cartadsweb.ville-valbonne.fr/guichet/Login/Particulier
247000011,CA de Vesoul,https://ca-vesoul.geosphere.fr/guichet-unique/Login/Particulier
200069029,CA des Deux Baies en Montreuillois,https://sig.ca2bm.fr/
200068989,CA Dinan Agglomération,https://www.dinan-agglomeration.fr/au-quotidien/demarches-en-ligne/demander-une-autorisation-durbanisme-en-ligne
200071066,CA Dracénoise,https://ads.dracenie.com
243301504,CA du Bassin d'Arcachon Nord,
241500230,CA du Bassin d'Aurillac,
200071751,CA du Bassin de Bourg-en-Bresse,https://portail.siea‑sig.fr
200043172,CA du Bassin de Brive,https://gnau35.operis.fr/bassindebrive/gnau/#/
200067999,CA du Beauvaisis,https://urbanisme.beauvaisis.fr/#/
200040244,CA du Bocage Bressuirais,https://gnau-sieds.operis.fr
246200729,CA du Boulonnais,https://gnau14.operis.fr/boulonnais/gnau/#/
246201149,CA du Calaisis,https://guichetunique.grandcalais.fr/Login/Particulier
200030633,CA du Caudrésis et du Catésis,
249720061,CA du Centre de la Martinique,
249730045,CA du Centre Littoral,
200071678,CA du Choletais,
200067205,CA du Cotentin,https://ads.lecotentin.fr/guichet-unique
200044618,CA du Douaisis (C.A.D.),https://urbanisme.ville-douai.fr/droit-du-sol/Login/Particulier
200034692,CA du Gard Rhodanien,https://ideau.atreal.fr/
200071827,CA du Grand Angoulême,https://gnau.grandangouleme.fr/gnau/#/
200066793,CA du Grand Annecy,https://urbanisme.annecy.fr/Login/Particulier
248400251,CA du Grand Avignon (Coga),https://gnau2.operis.fr/grandavignon/gnau/#/
248400251,CA du Grand Besançon,https://gnau-grandbesancon.operis.fr/gnau/#/
200023737,CA du Grand Cahors,https://sig.grandcahors.fr/guichet-unique/Login/Particulier
200069110,CA du Grand Chambéry,https://gnau2.operis.fr/chamberymetropole/gnau/
200070514,CA du Grand Cognac,https://gnau29.operis.fr/grandcognac/gnau/
244000675,CA du Grand Dax,https://intrageo.dax.fr/guichet-unique/Login/Particulier
200010650,CA du Grand Dole,https://sig.grand-dole.fr
200034825,CA du Grand Guéret,par mail
248900334,CA du Grand Sénonais,
200049187,CA du Grand Verdun,https://portail.grandverdun.fr/
200023307,CA du Grand Villeneuvois,
200070092,CA du Libournais,https://grandlibournais.geosphere.fr/
200041317,CA du Niortais,https://gnau-sieds.operis.fr/#/
249710062,CA du Nord Basse-Terre,
200044691,CA du Nord Grande Terre,
242010056,CA du Pays Ajaccien,https://ca-pays-ajaccien.geosphere.fr/adscs/Login?ReturnUrl=%2Fadscs%2F
200067106,CA du Pays Basque,https://www.communaute-paysbasque.fr/mes-demarches/demarches/deposer-une-demande-durbanisme
200040277,CA du Pays de Dreux,https://ideau.atreal.fr/
200072346,CA du Pays de Fontainebleau,
240100750,CA du Pays de Gex,https://portail.siea-sig.fr/sve/#/communesList
200039857,CA du Pays de Grasse,https://sve.sictiam.fr/#/communesList
243400470,CA du Pays de l'Or,
200043495,CA du Pays de Laon,
200072130,CA du Pays de Meaux,https://ideau.atreal.fr/
243500782,CA du Pays de Saint-Malo - Saint-Malo Agglomération,https://www.stmalo-agglomeration.fr/vie-quotidienne/amenagement-et-urbanisme/autorisation-durbanisme
200069037,CA du Pays de Saint-Omer,https://gnau19.operis.fr/payssaintomer/gnau/#/
200041788,CA du Pays Nord Martinique,
243800984,CA du Pays Voironnais,https://ads.paysvoironnais.com/guichet-unique/Login/Particulier
200073419,CA du Puy-en-Velay,
200071892,CA du Saint-Quentinois,https://gnau15.operis.fr/saintquentinois/gnau/#/
243100633,CA du Sicoval,
249740085,CA du Sud,
245701222,CA du Val de Fensch,https://www.agglo-valdefensch.fr/urbanisme
200034700,CA Durance-Lubéron-Verdon Agglomération,
200071116,CA Ecla (Espace Communautaire Lons Agglomération),
200067684,"CA Épernay, Coteaux et Plaine de Champagne",
200071116,CA Étampois Sud-Essonne,
200071454,CA Evreux Portes de Normandie,https://demarche-urbanisme.epn-agglo.fr/Login/Particulier
200069821,CA Fécamp Caux Littoral Agglomération,
200035814,CA Flers Agglo,
200072452,CA Fougères Agglomération,
200066124,CA Gaillac-Graulhet,www.geopermis.fr
200067825,CA Gap-Tallard-Durance,https://urbanisme.geomas.fr/gnau
200067932,CA Golfe du Morbihan - Vannes Agglomération,https://urbanisme.gmvagglo.bzh
200017846,CA Grand Auch Coeur de Gascogne,
200069052,CA Grand Belfort,https://gnau.grandbelfort.fr/gnau/
248600413,CA Grand Châtellerault,
200068674,CA Grand Lac,https://pu.rgd.fr/
248200099,CA Grand Montauban,https://montauban.com/au-quotidien/logement-et-urbanisme/faire-une-demande-durbanisme
200059228,CA Grand Paris Sud Seine Essonne Sénart,https://www.grandparissud.fr/urbanisme-tout-savoir-sur-vos-demarches
249710070,CA Grand Sud Caraïbe,
240200477,CA GrandSoissons Agglomération,
200067981,CA Guingamp-Paimpol Armor-Argoat Agglomération,https://gnau.megalis.bretagne.bzh/gpa/gnau/
200042935,CA Haut - Bugey Agglomération,https://www.hautbugey-agglomeration.fr/vivre-habiter/urbanisme/mes-demarches/dematerialisation-des-autorisations-durbanisme
243400819,CA Hérault-Méditerranée,
249740093,CA Intercommunale de la Réunion Est (Cirest),
249740093,CA Intercommunale du Nord de la Réunion (Cinor),
200041507,CA La Riviera du Levant,
248500589,CA La Roche-sur-Yon Agglomération,https://ads.larochesuryon.fr/guichet-unique/Login/Particulier
200069391,CA Lamballe Terre et Mer,https://www.lamballe-terre-mer.bzh/guichet-numerique-des-autorisations-durbanisme
200065928,CA Lannion-Trégor Communauté,https://www.lannion-tregor.com/vos-services/autorisations-durbanisme
